timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:52:53.098,1183478,10.546,4.580,7.851,1.174,-2.742,1.535,-57.150,63.900,-43.200,34.4
15:52:53.143,1183532,10.393,6.203,4.013,0.959,-1.966,1.117,-57.150,63.900,-43.200,34.4
15:52:53.189,1183586,9.175,6.732,5.660,0.275,-1.175,0.659,-36.450,39.750,-82.500,34.3
15:52:53.264,1183640,9.924,5.835,4.147,0.265,-0.371,0.072,-36.450,39.750,-82.500,34.3
15:52:53.294,1183694,9.421,5.622,4.005,-0.327,0.121,-0.286,-33.300,37.200,-85.350,34.1
15:52:53.354,1183748,10.056,6.491,3.893,-0.724,0.751,-0.720,-33.300,37.200,-85.350,34.4
15:52:53.414,1183802,11.049,6.974,4.606,-0.675,1.264,-1.081,-36.750,40.950,-83.250,34.5
15:52:53.458,1183856,11.799,7.570,5.617,-0.761,1.897,-1.400,-36.750,40.950,-83.250,34.6
15:52:53.518,1183910,11.756,6.017,5.049,-0.816,2.248,-1.580,-46.200,51.300,-75.600,34.4
15:52:53.563,1183964,12.268,8.325,7.087,-1.074,2.839,-1.946,-46.200,51.300,-75.600,34.2
15:52:53.623,1184018,11.684,5.488,5.423,-1.074,3.531,-1.937,-46.200,51.300,-75.600,34.4
15:52:53.685,1184072,9.929,7.796,6.402,-1.316,3.783,-2.040,-54.300,83.100,-15.300,34.4
15:52:53.730,1184126,8.112,5.394,6.934,-0.901,4.002,-1.913,-54.300,83.100,-15.300,34.2
15:52:53.788,1184180,4.887,5.823,6.658,-1.079,3.939,-1.856,-29.700,92.700,21.450,34.1
15:52:53.833,1184234,2.069,4.286,7.080,-0.829,3.917,-1.640,-29.700,92.700,21.450,34.4
15:52:53.893,1184288,-0.496,4.604,6.376,-0.787,3.772,-1.572,3.900,87.450,40.350,34.3
15:52:53.953,1184342,-2.861,2.689,4.525,-0.373,3.612,-1.380,3.900,87.450,40.350,34.2
15:52:54.000,1184396,-3.527,2.028,3.838,-0.563,3.347,-1.139,3.900,87.450,40.350,34.5
15:52:54.058,1184450,-5.054,1.535,2.569,-0.091,3.287,-0.991,3.900,87.450,40.350,34.4
15:52:54.103,1184504,-6.443,1.032,0.129,-0.117,2.841,-0.866,58.950,71.700,26.400,34.4
15:52:54.164,1184558,-6.929,0.156,-0.965,-0.180,2.490,-0.785,58.950,71.700,26.400,34.3
15:52:54.225,1184612,-7.408,0.294,-2.502,-0.600,1.883,-0.610,72.750,61.950,8.100,34.2
15:52:54.268,1184666,-8.109,-0.390,-1.930,-0.214,1.578,-0.516,78.900,57.600,-1.800,34.1
15:52:54.328,1184720,-8.837,-0.498,-3.373,-0.308,1.186,-0.298,78.900,57.600,-1.800,34.4
15:52:54.375,1184774,-8.574,0.903,-2.667,-0.572,1.154,-0.465,78.900,55.200,-9.750,34.4
15:52:54.434,1184828,-8.339,-1.372,-3.175,0.161,1.028,-0.473,78.900,55.200,-9.750,34.6
15:52:54.494,1184882,-9.555,-1.410,-6.290,0.295,0.265,-0.220,78.900,55.200,-9.750,34.5
15:52:54.554,1184936,-9.589,0.716,-4.235,-0.204,-0.265,0.040,78.900,55.200,-9.750,34.5
15:52:54.614,1184990,-9.215,-3.268,-5.121,-0.047,-0.577,0.260,81.000,52.350,-15.150,34.5
15:52:54.673,1185044,-9.230,1.279,-3.998,-0.126,-0.940,0.610,81.000,52.350,-15.150,34.3
15:52:54.733,1185098,-8.720,-0.242,-3.098,0.540,-1.767,0.600,76.350,58.350,-7.650,34.2
15:52:54.793,1185152,-7.712,-0.385,-1.963,-0.137,-2.147,0.948,76.350,58.350,-7.650,34.2
15:52:54.854,1185206,-6.428,1.609,0.232,0.570,-2.669,1.736,71.100,63.750,2.850,34.4
15:52:54.915,1185260,-6.819,0.709,1.092,-0.292,-3.829,2.498,71.100,63.750,2.850,34.5
15:52:54.916,1185314,-5.847,3.247,3.500,-0.422,-4.506,2.774,51.000,76.050,19.350,34.5
15:52:54.974,1185368,-4.252,3.084,4.556,-0.355,-4.818,2.611,51.000,76.050,19.350,34.4
15:52:55.034,1185422,-2.859,4.786,5.461,0.598,-4.699,2.456,51.000,76.050,19.350,34.3
15:52:55.094,1185476,-0.158,5.401,6.922,0.254,-4.434,2.267,-28.650,82.650,24.450,34.3
15:52:55.154,1185530,2.310,9.424,8.832,0.237,-4.041,1.888,-28.650,82.650,24.450,34.4
15:52:55.214,1185584,3.282,4.216,5.947,0.692,-3.836,1.745,-54.450,73.650,-4.200,34.3
15:52:55.274,1185638,7.278,9.280,5.456,0.063,-3.573,1.802,-54.450,73.650,-4.200,34.2
15:52:55.334,1185692,6.321,4.302,6.412,0.633,-3.372,2.003,-61.650,61.650,-37.050,34.5
15:52:55.393,1185746,9.811,7.877,3.397,0.337,-3.293,1.715,-61.650,61.650,-37.050,34.3
15:52:55.453,1185800,10.101,8.370,7.906,1.231,-2.731,1.409,-61.650,61.650,-37.050,34.5
15:52:55.454,1185854,12.086,8.734,5.871,0.198,-1.646,0.624,-61.650,61.650,-37.050,34.5
15:52:55.513,1185908,10.570,6.577,3.630,0.229,-0.164,-0.025,-39.000,29.700,-84.450,34.4
15:52:55.573,1185962,8.739,6.515,3.553,-0.463,0.435,-0.616,-37.950,30.450,-87.000,34.5
15:52:55.633,1186016,10.092,9.503,5.428,-1.009,0.685,-0.851,-37.950,30.450,-87.000,34.4
15:52:55.692,1186070,10.092,7.329,4.633,-0.826,1.342,-1.294,-44.850,39.900,-79.800,33.9
15:52:55.753,1186124,11.116,8.164,5.437,-0.748,1.912,-1.668,-44.850,39.900,-79.800,34.5
15:52:55.813,1186178,11.150,8.073,5.830,-0.413,2.261,-1.852,-55.500,55.200,-65.700,34.5
15:52:55.873,1186232,10.525,8.430,5.624,-0.548,2.524,-1.993,-55.500,55.200,-65.700,34.6
15:52:55.933,1186286,10.353,8.607,6.926,-1.171,2.595,-2.062,-55.500,55.200,-65.700,34.3
15:52:55.993,1186340,9.242,10.465,8.135,-0.492,2.899,-2.123,-55.500,55.200,-65.700,34.1
15:52:55.993,1186394,8.241,7.451,7.230,-2.001,3.416,-2.344,-48.150,91.050,-7.800,34.3
15:52:56.053,1186448,5.605,6.376,5.758,-0.683,4.285,-2.300,-48.150,91.050,-7.800,34.2
15:52:56.113,1186502,4.336,4.705,5.693,-1.138,4.421,-2.179,-16.950,94.500,26.400,34.2
15:52:56.173,1186556,0.876,3.579,2.236,-0.719,4.290,-2.087,26.700,86.550,34.650,34.0
15:52:56.233,1186610,-1.482,1.997,1.401,-0.404,3.780,-1.703,26.700,86.550,34.650,34.3
15:52:56.295,1186664,-4.005,2.461,1.010,-0.648,3.400,-1.549,26.700,86.550,34.650,34.4
15:52:56.353,1186718,-5.320,1.374,-1.087,0.043,3.058,-1.339,26.700,86.550,34.650,34.3
15:52:56.413,1186772,-6.108,0.694,-0.527,-0.468,2.679,-1.252,71.700,64.350,8.550,34.4
15:52:56.473,1186826,-7.398,0.072,-2.801,-0.057,2.308,-0.996,71.700,64.350,8.550,34.4
15:52:56.535,1186880,-7.403,-0.991,-3.287,-0.182,1.989,-0.841,81.600,56.700,-7.950,34.2
15:52:56.536,1186934,-7.968,-2.172,-4.276,-0.267,1.714,-0.506,81.600,56.700,-7.950,34.6
15:52:56.593,1186988,-8.320,-1.192,-5.255,-0.090,1.217,-0.364,82.050,50.850,-20.250,34.2
15:52:56.654,1187042,-7.278,-1.731,-5.880,-0.184,0.770,-0.082,82.050,50.850,-20.250,34.3
15:52:56.714,1187096,-8.638,0.697,-4.211,-0.310,0.234,-0.228,81.000,49.650,-28.650,34.2
15:52:56.773,1187150,-7.855,-2.847,-3.926,-0.239,0.151,-0.085,81.000,49.650,-28.650,34.5
15:52:56.833,1187204,-8.961,-0.278,-5.636,-0.146,0.118,-0.142,81.150,49.050,-30.300,34.2
15:52:56.895,1187258,-9.498,-0.555,-5.578,0.567,-0.069,-0.095,79.800,49.950,-28.950,34.4
15:52:56.954,1187312,-9.062,-0.757,-5.250,-0.764,-0.415,0.041,79.800,49.950,-28.950,34.3
15:52:57.013,1187366,-8.471,-0.211,-4.887,0.101,-0.615,0.305,80.250,50.850,-24.600,34.4
15:52:57.073,1187420,-8.349,-1.879,-4.853,-0.118,-1.104,0.539,80.250,50.850,-24.600,34.4
15:52:57.074,1187474,-8.655,0.848,-3.668,-0.163,-1.438,0.445,79.050,54.300,-18.000,34.2
