timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:20:50.745,2861182,-0.843,3.108,5.104,0.760,-2.937,1.127,33.900,80.700,10.950,35.1
16:20:50.807,2861236,1.355,5.760,10.772,0.597,-2.649,1.162,33.900,80.700,10.950,35.0
16:20:50.852,2861290,2.014,8.332,13.247,1.275,-2.269,0.918,19.050,85.650,4.200,35.3
16:20:50.912,2861344,1.906,2.648,5.792,0.985,-2.076,0.848,19.050,85.650,4.200,35.4
16:20:50.972,2861398,4.424,5.377,8.696,-0.200,-2.036,0.885,9.300,88.500,-3.900,35.2
16:20:51.017,2861452,3.646,5.320,7.307,0.624,-1.863,0.870,9.300,88.500,-3.900,35.3
16:20:51.077,2861506,5.217,5.416,8.004,0.140,-1.739,0.714,4.200,88.650,-10.050,35.4
16:20:51.122,2861560,5.365,6.414,7.355,0.356,-1.763,0.573,4.200,88.650,-10.050,35.3
16:20:51.180,2861614,6.486,5.097,5.823,0.105,-1.692,0.498,4.200,88.650,-10.050,35.3
16:20:51.240,2861668,7.008,5.696,6.381,0.006,-1.553,0.426,-2.400,88.350,-19.800,35.1
16:20:51.287,2861722,7.561,4.492,4.326,0.159,-1.382,0.428,-2.400,88.350,-19.800,35.2
16:20:51.345,2861776,7.764,5.265,5.677,0.331,-1.371,0.464,-3.300,85.050,-23.700,35.1
16:20:51.392,2861830,8.174,4.465,3.503,0.408,-1.095,0.438,-3.300,85.050,-23.700,35.3
16:20:51.452,2861884,8.456,5.136,4.432,0.205,-0.962,0.376,-2.100,88.050,-27.300,35.7
16:20:51.510,2861938,8.849,4.547,3.979,-0.055,-0.793,0.284,-2.100,88.050,-27.300,35.3
16:20:51.555,2861992,8.799,4.918,3.579,-0.131,-0.524,0.153,-3.450,86.400,-30.450,35.1
16:20:51.615,2862046,8.775,4.769,4.298,-0.228,-0.188,0.034,-3.450,86.400,-30.450,35.5
16:20:51.662,2862100,8.847,4.614,3.912,-0.266,0.168,-0.110,-3.450,86.400,-30.450,35.3
16:20:51.722,2862154,8.619,5.385,4.063,-0.522,0.544,-0.297,-3.450,86.400,-30.450,35.1
16:20:51.782,2862208,8.782,5.112,4.429,-0.614,1.021,-0.519,-1.950,85.950,-25.350,35.3
16:20:51.825,2862262,8.533,5.100,5.167,-0.514,1.377,-0.713,-1.950,85.950,-25.350,35.7
16:20:51.885,2862316,8.399,5.377,5.717,-0.676,1.742,-0.924,0.900,87.150,-20.250,35.4
16:20:51.930,2862370,8.152,5.708,6.771,-0.785,2.059,-1.050,4.800,87.000,-13.800,35.1
16:20:51.992,2862424,7.293,5.516,7.173,-0.857,2.378,-1.107,4.800,87.000,-13.800,35.5
16:20:52.052,2862478,5.722,5.351,8.229,-0.633,2.517,-1.110,12.600,87.300,-2.850,35.4
16:20:52.095,2862532,4.736,4.987,9.184,-0.343,2.614,-1.188,12.600,87.300,-2.850,35.5
16:20:52.155,2862586,3.397,5.310,8.485,-0.540,2.672,-1.293,12.600,87.300,-2.850,35.3
16:20:52.215,2862640,1.935,4.659,8.861,-0.794,2.694,-1.251,12.600,87.300,-2.850,35.4
16:20:52.277,2862694,-0.041,4.434,8.478,-0.696,2.679,-1.222,34.950,79.650,4.350,35.3
16:20:52.337,2862748,-0.970,3.847,8.339,-0.553,2.589,-1.183,34.950,79.650,4.350,35.4
16:20:52.395,2862802,-3.306,3.225,7.104,-0.251,2.320,-1.026,47.700,73.350,3.900,35.3
