timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:09:10.153,2160578,-0.101,5.339,8.660,0.614,-2.510,0.883,-32.850,36.900,61.200,35.8
16:09:10.214,2160632,1.681,5.564,8.763,0.634,-2.521,0.909,-54.300,37.500,49.350,35.9
16:09:10.274,2160686,2.473,6.009,8.693,0.377,-2.493,0.853,-54.300,37.500,49.350,36.0
16:09:10.318,2160740,4.144,5.298,7.791,0.579,-2.355,0.785,-72.450,32.550,30.150,36.0
16:09:10.378,2160794,5.215,5.665,8.186,0.129,-2.256,0.706,-84.900,26.250,8.400,35.9
16:09:10.424,2160848,5.456,6.675,7.599,0.341,-2.122,0.640,-84.900,26.250,8.400,35.8
16:09:10.485,2160902,7.321,5.255,5.148,0.469,-1.880,0.611,-87.000,19.050,-12.600,36.0
16:09:10.543,2160956,7.381,6.045,7.384,0.236,-1.874,0.653,-87.000,19.050,-12.600,36.0
16:09:10.589,2161010,7.594,5.586,4.453,0.410,-1.536,0.472,-83.550,10.950,-28.200,36.1
16:09:10.650,2161064,8.902,5.006,4.142,0.134,-1.381,0.443,-83.550,10.950,-28.200,36.0
16:09:10.693,2161118,7.776,6.053,5.428,0.200,-1.172,0.369,-83.550,10.950,-28.200,35.8
16:09:10.755,2161172,8.815,4.288,2.899,0.428,-0.879,0.324,-83.550,10.950,-28.200,36.0
16:09:10.815,2161226,8.085,5.088,3.129,0.310,-0.895,0.258,-74.250,-0.450,-50.550,36.0
16:09:10.860,2161280,8.708,4.932,1.911,0.345,-0.711,0.310,-74.250,-0.450,-50.550,35.8
16:09:10.922,2161334,8.760,4.824,1.595,0.354,-0.426,0.293,-67.950,-4.350,-55.650,35.7
16:09:10.965,2161388,8.983,4.851,2.114,0.322,-0.208,0.163,-67.950,-4.350,-55.650,36.0
16:09:11.024,2161442,8.878,4.887,1.640,0.196,0.065,0.058,-65.100,-8.400,-59.550,36.0
16:09:11.084,2161496,8.916,5.861,2.614,-0.220,0.250,-0.163,-64.350,-10.050,-59.550,36.1
16:09:11.128,2161550,9.153,5.942,2.837,-0.648,0.767,-0.438,-64.350,-10.050,-59.550,36.1
16:09:11.190,2161604,9.297,6.359,4.075,-0.859,1.298,-0.657,-69.300,-3.750,-54.750,35.9
16:09:11.234,2161658,9.129,5.547,4.776,-0.845,1.880,-0.823,-69.300,-3.750,-54.750,36.0
16:09:11.295,2161712,9.146,5.854,5.667,-0.687,2.318,-0.899,-80.850,7.200,-39.750,36.0
16:09:11.355,2161766,8.492,5.634,6.323,-0.689,2.666,-0.957,-80.850,7.200,-39.750,35.9
16:09:11.399,2161820,7.027,5.796,6.926,-0.671,2.876,-0.984,-80.850,7.200,-39.750,35.9
16:09:11.459,2161874,6.103,5.322,6.730,-0.758,3.110,-0.850,-80.850,7.200,-39.750,36.0
16:09:11.505,2161928,4.089,5.363,8.720,-0.585,3.108,-0.769,-81.300,29.850,12.600,35.9
16:09:11.595,2161982,3.725,4.142,7.712,-0.207,3.080,-0.720,-81.300,29.850,12.600,36.1
16:09:11.654,2162036,1.128,5.116,7.635,-0.212,2.836,-0.663,-66.450,34.500,39.900,35.9
16:09:11.715,2162090,-0.536,3.888,6.500,-0.190,2.564,-0.559,-43.200,36.300,56.250,35.9
16:09:11.774,2162144,-1.870,4.178,7.257,-0.322,2.156,-0.424,-43.200,36.300,56.250,36.0
16:09:11.774,2162198,-3.100,3.737,5.751,-0.378,1.791,-0.326,-21.150,35.100,64.650,36.0
16:09:11.834,2162252,-4.149,3.390,5.600,-0.142,1.225,-0.261,-21.150,35.100,64.650,36.0
16:09:11.893,2162306,-4.499,3.721,5.906,0.119,0.838,-0.143,-7.050,33.150,66.450,36.0
16:09:11.955,2162360,-5.430,4.281,5.279,0.105,0.520,-0.159,-7.050,33.150,66.450,35.8
16:09:12.015,2162414,-5.890,3.318,6.900,0.132,0.319,-0.066,-7.050,33.150,66.450,35.9
16:09:12.074,2162468,-6.062,4.834,7.013,-0.016,0.026,0.001,-7.050,33.150,66.450,36.0
16:09:12.133,2162522,-5.595,3.685,6.462,-0.053,-0.023,-0.046,-7.050,33.150,66.450,36.1
16:09:12.193,2162576,-5.760,4.602,7.458,-0.069,-0.034,-0.035,-7.050,33.150,66.450,36.0
16:09:12.254,2162630,-5.753,4.029,6.637,-0.002,-0.069,0.013,0.600,35.100,68.250,36.0
16:09:12.313,2162684,-5.703,4.077,7.312,0.006,-0.100,-0.007,0.600,35.100,68.250,35.9
16:09:12.314,2162738,-5.598,4.223,6.603,-0.067,-0.171,0.007,-0.900,34.200,67.050,35.8
16:09:12.373,2162792,-5.677,3.917,6.735,-0.041,-0.321,0.054,-0.600,33.900,67.200,36.0
16:09:12.434,2162846,-4.951,3.417,5.909,0.028,-0.541,0.059,-0.600,33.900,67.200,36.0
16:09:12.494,2162900,-4.836,3.508,5.617,0.156,-0.949,0.187,-5.850,35.550,66.900,36.0
16:09:12.553,2162954,-4.240,3.531,5.887,0.481,-1.354,0.320,-5.850,35.550,66.900,36.0
16:09:12.614,2163008,-3.024,3.555,4.427,0.576,-1.755,0.475,-18.750,38.400,63.750,36.0
16:09:12.675,2163062,-2.105,4.621,7.338,0.436,-2.066,0.594,-18.750,38.400,63.750,36.0
16:09:12.735,2163116,-1.223,5.030,7.341,0.388,-2.198,0.782,-18.750,38.400,63.750,36.0
16:09:12.794,2163170,0.474,4.757,7.420,0.092,-2.152,0.867,-18.750,38.400,63.750,35.8
16:09:12.855,2163224,0.910,6.005,7.949,0.157,-2.162,0.877,-58.650,39.900,44.400,35.9
16:09:12.857,2163278,2.512,5.179,7.140,0.484,-2.086,0.807,-58.650,39.900,44.400,36.0
16:09:12.914,2163332,3.663,5.538,7.302,0.613,-1.991,0.849,-72.150,34.350,29.850,35.9
16:09:12.975,2163386,4.695,6.376,7.365,0.077,-1.952,0.827,-82.800,27.900,12.150,36.0
16:09:13.035,2163440,5.104,6.302,7.465,0.137,-1.949,0.739,-82.800,27.900,12.150,35.9
16:09:13.094,2163494,6.371,4.733,4.786,0.508,-1.744,0.738,-86.400,19.200,-6.900,36.1
16:09:13.155,2163548,7.728,5.777,5.722,0.420,-1.637,0.636,-86.400,19.200,-6.900,36.0
16:09:13.215,2163602,7.403,6.579,6.050,0.446,-1.645,0.644,-86.250,10.200,-23.100,36.1
16:09:13.275,2163656,8.495,5.425,3.033,0.411,-1.380,0.581,-86.250,10.200,-23.100,35.9
16:09:13.335,2163710,8.466,5.236,5.037,0.189,-1.475,0.505,-79.500,2.400,-36.600,35.8
16:09:13.394,2163764,9.306,4.788,2.081,0.398,-1.072,0.441,-79.500,2.400,-36.600,35.9
16:09:13.455,2163818,9.153,4.721,2.844,0.206,-0.908,0.357,-79.500,2.400,-36.600,36.0
16:09:13.455,2163872,9.060,4.422,2.234,0.272,-0.619,0.364,-79.500,2.400,-36.600,36.1
