timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:42:16.455,3345372,-8.993,-2.761,-1.504,0.109,-0.069,-0.074,46.650,8.250,-39.600,34.6
15:42:16.516,3345426,-8.078,-2.313,-1.520,0.235,-0.043,-0.103,44.700,6.450,-39.750,34.5
15:42:16.577,3345480,-8.016,-2.844,-1.180,0.185,0.012,-0.188,44.700,6.450,-39.750,34.7
15:42:16.622,3345534,-8.193,-3.448,-1.231,-0.085,-0.002,-0.230,46.500,6.900,-40.500,34.5
15:42:16.682,3345588,-8.521,-3.529,-1.238,0.082,-0.013,-0.155,45.900,5.550,-41.100,34.6
15:42:16.726,3345642,-8.483,-4.015,-1.626,0.188,-0.040,-0.055,45.900,5.550,-41.100,34.7
15:42:16.786,3345696,-7.846,-3.795,-1.432,0.185,-0.145,-0.105,45.750,4.950,-40.500,34.6
15:42:16.847,3345750,-7.752,-4.288,-1.116,-0.358,-0.242,-0.151,45.750,4.950,-40.500,34.7
15:42:16.892,3345804,-7.673,-4.429,-0.807,-0.214,-0.155,-0.114,45.750,4.950,-40.500,34.7
15:42:16.952,3345858,-8.083,-4.958,-1.156,-0.207,-0.099,-0.052,45.750,4.950,-40.500,34.7
15:42:16.997,3345912,-7.547,-4.108,-1.286,-0.318,-0.102,-0.031,47.100,6.300,-40.350,34.6
15:42:17.057,3345966,-7.824,-4.606,-1.939,0.016,-0.038,-0.039,47.100,6.300,-40.350,34.8
15:42:17.116,3346020,-8.732,-5.097,-1.913,-0.233,-0.026,-0.214,48.000,4.950,-39.000,34.5
15:42:17.161,3346074,-8.875,-4.822,-1.863,-0.027,-0.015,-0.131,48.000,4.950,-39.000,34.4
15:42:17.221,3346128,-8.854,-4.168,-1.307,0.076,-0.025,-0.085,47.250,5.400,-39.750,34.6
15:42:17.266,3346182,-9.036,-4.685,-1.549,-0.246,0.007,-0.009,47.700,4.200,-39.450,34.7
15:42:17.326,3346236,-8.734,-4.482,-1.276,0.105,0.046,0.054,47.700,4.200,-39.450,34.6
15:42:17.387,3346290,-8.274,-4.480,-1.233,-0.001,0.030,-0.094,47.700,4.200,-39.450,34.8
15:42:17.431,3346344,-8.112,-4.779,-1.726,0.143,0.052,-0.144,47.700,4.200,-39.450,34.6
15:42:17.491,3346398,-8.056,-4.796,-1.087,0.153,0.151,-0.227,45.750,3.000,-39.750,34.7
15:42:17.536,3346452,-7.307,-4.990,-1.628,0.204,0.238,-0.358,45.750,3.000,-39.750,34.7
15:42:17.597,3346506,-7.642,-4.099,-1.528,0.290,0.190,-0.395,46.950,1.500,-40.200,34.5
15:42:17.657,3346560,-8.191,-5.174,-1.973,-0.022,0.064,-0.465,46.950,1.500,-40.200,34.5
15:42:17.703,3346614,-8.049,-5.124,-1.700,-0.037,-0.111,-0.387,44.700,0.300,-40.200,34.6
15:42:17.760,3346668,-8.612,-5.459,-2.025,0.087,-0.154,-0.362,44.700,0.300,-40.200,34.7
15:42:17.806,3346722,-8.890,-6.354,-1.645,0.096,-0.161,-0.297,44.100,-2.100,-40.650,34.8
15:42:17.897,3346776,-7.350,-5.382,-0.881,-0.005,-0.253,-0.075,45.750,-3.450,-39.000,34.7
15:42:17.957,3346830,-8.799,-6.407,-0.785,0.199,-0.164,-0.008,45.750,-3.450,-39.000,34.8
15:42:18.017,3346884,-7.125,-4.918,-0.407,-0.202,-0.182,0.165,45.750,-3.450,-39.000,34.5
15:42:18.077,3346938,-9.158,-5.983,-0.479,0.157,-0.076,0.191,45.750,-3.450,-39.000,34.6
