timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:15:19.062,1727948,-7.779,4.532,-0.362,-0.022,2.745,-0.712,22.350,31.200,0.300,35.5
15:15:19.122,1728002,-8.768,2.588,-1.154,0.093,2.654,-0.549,31.950,27.450,-11.250,36.0
15:15:19.184,1728056,-8.813,2.545,-2.461,-0.117,2.473,-0.331,31.950,27.450,-11.250,35.8
15:15:19.228,1728110,-9.069,2.550,-3.443,0.009,2.322,-0.106,32.100,25.200,-17.250,35.8
15:15:19.289,1728164,-8.815,3.045,-4.254,0.350,2.037,-0.448,32.100,25.200,-17.250,35.7
15:15:19.332,1728218,-9.050,2.035,-6.740,0.193,1.492,-0.410,29.850,22.200,-20.550,36.0
15:15:19.394,1728272,-8.437,1.389,-6.275,0.365,1.050,-0.390,29.850,22.200,-20.550,36.0
15:15:19.454,1728326,-8.191,0.450,-6.697,0.695,0.856,-0.157,27.750,20.550,-27.900,35.9
15:15:19.499,1728380,-8.025,0.359,-7.161,1.065,0.663,0.431,27.750,20.550,-27.900,35.4
15:15:19.557,1728434,-7.228,0.733,-7.319,1.442,0.959,0.884,26.550,20.250,-32.250,35.6
15:15:19.602,1728488,-5.574,-0.369,-5.236,1.458,1.244,1.225,21.150,19.200,-38.700,35.9
15:15:19.662,1728542,-5.476,0.402,-5.947,1.909,1.245,1.317,21.150,19.200,-38.700,35.5
15:15:19.723,1728596,-4.353,1.733,-5.641,1.734,1.616,1.243,21.150,19.200,-38.700,36.0
15:15:19.768,1728650,-4.551,2.263,-6.804,0.568,1.803,1.276,21.150,19.200,-38.700,35.8
15:15:19.828,1728704,-3.309,1.367,-7.477,0.298,1.937,1.444,6.750,15.600,-46.200,35.5
15:15:19.873,1728758,-1.635,0.620,-8.734,0.420,1.828,1.566,6.750,15.600,-46.200,36.0
15:15:19.933,1728812,-0.096,1.008,-9.543,1.271,1.450,1.758,-2.100,16.200,-46.050,35.9
15:15:19.993,1728866,2.229,1.446,-10.171,0.856,0.579,1.765,-2.100,16.200,-46.050,35.8
15:15:20.037,1728920,3.144,1.808,-11.006,-0.587,0.391,1.722,-8.700,9.450,-46.200,35.3
15:15:20.099,1728974,2.658,1.386,-11.145,-1.644,0.432,1.270,-8.700,9.450,-46.200,35.9
15:15:20.144,1729028,2.205,-1.571,-9.098,-0.184,0.520,0.616,-11.250,12.150,-47.250,35.9
15:15:20.202,1729082,2.241,0.886,-10.106,0.774,0.421,-0.078,-11.250,12.150,-47.250,35.9
15:15:20.262,1729136,2.097,0.335,-10.053,-0.011,0.242,-0.493,-12.600,13.050,-46.350,36.0
15:15:20.307,1729190,1.937,1.073,-10.798,0.040,0.111,-0.493,-13.950,13.200,-45.150,35.9
15:15:20.382,1729244,1.884,0.910,-11.310,0.055,-0.036,-0.784,-13.950,13.200,-45.150,36.0
15:15:20.412,1729298,1.693,0.848,-10.738,0.146,-0.237,-1.240,-13.950,13.200,-45.150,36.0
15:15:20.474,1729352,1.944,1.073,-10.379,-0.019,-0.422,-1.702,-13.950,13.200,-45.150,35.4
15:15:20.532,1729406,2.131,1.305,-9.725,0.214,-0.544,-1.908,-13.950,13.200,-45.150,35.9
15:15:20.592,1729460,1.968,1.647,-9.835,-0.159,-0.746,-2.114,-13.950,13.200,-45.150,35.5
15:15:20.653,1729514,2.040,1.776,-9.122,-1.270,-1.192,-2.086,-5.700,16.800,-48.000,36.0
15:15:20.713,1729568,0.766,1.073,-9.313,-0.646,-0.840,-1.812,-5.700,16.800,-48.000,35.8
15:15:20.773,1729622,-2.380,1.702,-8.559,-0.234,-0.944,-1.262,-0.900,20.550,-46.500,35.9
15:15:20.833,1729676,-2.078,1.638,-8.684,-0.579,-1.065,-1.146,-0.900,20.550,-46.500,35.9
15:15:20.893,1729730,-3.524,1.824,-8.054,-0.357,-1.192,-0.780,6.750,21.000,-42.450,35.9
15:15:20.952,1729784,-5.574,2.047,-7.946,-0.402,-1.401,-0.587,12.450,21.000,-41.400,36.0
15:15:20.953,1729838,-5.899,1.530,-7.726,-0.424,-1.591,-0.678,12.450,21.000,-41.400,35.7
15:15:21.013,1729892,-6.127,1.475,-7.535,-0.058,-1.699,-0.755,18.150,20.400,-38.250,35.8
15:15:21.072,1729946,-7.204,1.178,-7.111,0.187,-1.712,-0.750,18.150,20.400,-38.250,35.8
15:15:21.132,1730000,-7.575,0.632,-6.759,0.588,-1.568,-0.913,18.150,20.400,-38.250,35.9
15:15:21.193,1730054,-7.781,0.146,-6.005,1.098,-1.394,-0.871,18.150,20.400,-38.250,35.6
15:15:21.253,1730108,-7.985,-0.584,-4.889,1.401,-1.205,-0.851,18.150,20.400,-38.250,35.8
15:15:21.313,1730162,-8.363,-1.176,-4.381,1.529,-1.203,-0.655,18.150,20.400,-38.250,35.9
15:15:21.373,1730216,-8.693,-2.406,-4.266,1.416,-1.242,-0.371,30.300,6.750,-30.450,35.8
15:15:21.434,1730270,-8.667,-3.345,-4.120,1.563,-1.025,0.041,30.300,6.750,-30.450,35.7
15:15:21.493,1730324,-9.136,-3.982,-3.354,1.396,-0.933,0.577,34.800,3.600,-26.400,35.4
15:15:21.495,1730378,-9.661,-3.069,-2.490,0.902,-0.847,0.844,34.800,3.600,-26.400,35.8
15:15:21.554,1730432,-10.111,-2.421,-2.478,0.770,-1.029,1.122,34.950,5.700,-25.500,35.8
15:15:21.614,1730486,-10.561,-2.164,-1.750,0.388,-1.394,1.459,36.300,9.450,-20.550,35.8
15:15:21.672,1730540,-10.036,-1.221,-1.702,0.431,-1.537,1.612,36.300,9.450,-20.550,35.5
15:15:21.732,1730594,-10.116,0.266,-0.848,0.180,-1.671,1.662,35.400,15.450,-18.150,35.5
15:15:21.792,1730648,-9.965,1.489,-0.658,-0.102,-2.175,1.769,35.400,15.450,-18.150,35.9
15:15:21.853,1730702,-8.423,3.232,1.077,0.308,-2.452,1.806,35.400,15.450,-18.150,35.8
15:15:21.913,1730756,-8.025,2.114,3.223,-0.247,-2.296,1.767,35.400,15.450,-18.150,35.5
15:15:21.973,1730810,-5.399,4.259,3.026,-0.442,-2.925,1.694,35.400,15.450,-18.150,35.6
15:15:22.033,1730864,-4.317,4.492,3.864,-0.407,-3.032,1.481,35.400,15.450,-18.150,35.9
15:15:22.033,1730918,-1.542,4.954,6.306,-0.543,-3.264,1.318,18.600,27.750,3.600,36.0
15:15:22.092,1730972,1.252,2.799,8.708,-0.408,-2.738,0.913,18.600,27.750,3.600,35.5
15:15:22.152,1731026,0.326,3.970,7.855,-0.253,-2.479,0.598,10.050,28.950,7.950,35.8
15:15:22.213,1731080,1.391,4.887,9.495,-0.625,-1.705,0.476,5.100,27.000,11.250,36.0
15:15:22.273,1731134,0.953,3.886,11.375,-0.455,-0.756,0.461,5.100,27.000,11.250,36.0
15:15:22.333,1731188,0.421,4.082,12.725,0.088,-0.285,0.363,1.650,22.500,9.600,36.0
15:15:22.392,1731242,0.697,5.667,12.814,0.577,0.230,0.215,1.650,22.500,9.600,35.4
15:15:22.453,1731296,0.776,6.412,12.067,0.743,0.794,0.027,0.150,22.950,7.350,35.3
15:15:22.512,1731350,0.603,6.206,10.927,0.806,1.337,-0.192,0.150,22.950,7.350,35.9
15:15:22.572,1731404,-0.259,6.476,10.515,0.731,1.870,-0.439,0.150,22.950,7.350,35.8
15:15:22.573,1731458,-0.826,5.986,9.203,0.670,2.481,-0.724,0.150,22.950,7.350,35.8
15:15:22.633,1731512,-1.879,5.942,8.485,0.396,2.866,-1.100,0.150,22.950,7.350,35.8
15:15:22.693,1731566,-3.151,5.243,7.230,0.304,3.077,-1.242,0.150,22.950,7.350,35.8
15:15:22.754,1731620,-4.834,4.745,6.129,0.062,3.150,-1.391,17.250,29.550,3.750,35.9
15:15:22.812,1731674,-6.752,3.867,4.523,-0.330,2.955,-1.489,25.800,27.150,-1.950,35.8
