timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:30:25.060,6234034,8.411,-2.954,-0.318,-0.400,0.239,0.128,-44.850,9.450,-16.500,34.2
16:30:25.120,6234088,7.664,-1.822,0.199,-0.348,0.160,0.023,-44.850,9.450,-16.500,34.6
16:30:25.180,6234142,8.660,-2.617,0.328,-0.626,0.133,-0.083,-44.700,9.150,-15.600,34.7
16:30:25.226,6234196,10.106,-3.349,-0.713,-0.723,-0.013,-0.228,-44.700,9.150,-15.600,34.8
16:30:25.287,6234250,11.368,-3.417,-0.002,-0.422,-0.062,-0.257,-44.700,8.100,-16.800,34.5
16:30:25.332,6234304,10.501,-2.873,-0.895,-0.651,0.053,-0.223,-44.700,8.100,-16.800,34.6
16:30:25.390,6234358,9.048,-2.818,-0.431,-0.467,0.089,-0.221,-44.700,8.100,-16.800,34.6
16:30:25.450,6234412,8.588,-3.127,0.007,-0.545,0.119,-0.166,-44.700,8.100,-16.800,34.6
16:30:25.495,6234466,8.624,-3.000,-0.139,-0.653,0.122,-0.104,-43.500,10.050,-16.350,34.4
16:30:25.555,6234520,8.298,-2.514,-0.156,-0.791,0.232,0.027,-43.200,10.350,-14.850,34.6
16:30:25.600,6234574,8.964,-3.414,-0.936,-0.682,0.338,0.089,-43.200,10.350,-14.850,34.7
16:30:25.660,6234628,11.442,-4.204,0.034,-0.696,0.288,0.191,-42.150,10.500,-13.200,34.6
16:30:25.720,6234682,9.828,-3.160,-0.888,-0.625,0.245,0.197,-42.150,10.500,-13.200,34.6
16:30:25.765,6234736,8.938,-3.685,0.072,-0.518,0.186,0.268,-42.450,9.600,-13.500,34.6
16:30:25.826,6234790,9.170,-3.184,0.532,-0.094,0.240,0.326,-42.450,9.600,-13.500,34.6
16:30:25.872,6234844,9.469,-3.974,0.893,-0.970,0.560,0.381,-42.450,9.600,-13.500,34.7
16:30:25.930,6234898,9.618,-4.676,1.183,-1.353,0.877,0.505,-42.450,9.600,-13.500,34.6
16:30:25.991,6234952,11.064,-5.478,-0.927,-1.200,1.183,1.173,-37.800,5.550,-11.400,34.3
16:30:26.035,6235006,9.701,-5.756,-0.582,-0.933,1.147,1.904,-37.800,5.550,-11.400,34.6
16:30:26.095,6235060,7.939,-6.206,1.812,-0.667,0.634,1.989,-36.450,1.800,-8.400,34.6
16:30:26.141,6235114,7.118,-5.164,0.261,-2.784,0.184,1.689,-33.300,-5.850,-9.600,34.6
16:30:26.200,6235168,6.620,-7.602,-0.467,-1.609,-0.050,1.434,-33.300,-5.850,-9.600,34.5
16:30:26.261,6235222,5.978,-8.760,0.230,-1.917,-0.524,0.870,-30.900,-11.550,-14.550,34.7
16:30:26.307,6235276,6.455,-8.109,-1.180,-1.722,-0.393,0.767,-30.900,-11.550,-14.550,34.7
16:30:26.366,6235330,6.546,-9.177,-2.291,-1.082,-0.500,0.818,-30.900,-11.550,-14.550,34.8
16:30:26.411,6235384,6.182,-9.213,-2.835,-1.199,-0.451,1.035,-30.900,-11.550,-14.550,34.4
16:30:26.487,6235438,5.205,-9.203,-3.223,-0.629,-0.434,1.145,-28.800,-16.350,-24.600,34.2
16:30:26.547,6235492,4.827,-8.169,-3.587,-0.614,-0.342,1.309,-28.800,-16.350,-24.600,34.7
16:30:26.607,6235546,4.264,-7.700,-2.418,-0.527,-0.278,1.164,-24.750,-19.050,-29.700,34.7
16:30:26.667,6235600,3.381,-6.414,-2.006,-0.649,-0.076,0.810,-24.750,-19.050,-29.700,34.6
16:30:26.727,6235654,1.707,-7.173,-2.018,-1.040,0.052,0.675,-19.500,-20.550,-31.500,34.5
16:30:26.785,6235708,2.411,-6.337,-1.841,-0.858,0.337,0.525,-15.750,-18.300,-36.000,34.5
16:30:26.846,6235762,2.763,-7.558,-3.136,-0.100,0.625,0.636,-15.750,-18.300,-36.000,34.8
16:30:26.846,6235816,4.010,-4.990,-2.124,-0.280,1.039,0.624,-15.750,-18.300,-36.000,34.6
16:30:26.906,6235870,2.598,-7.678,-4.757,-0.477,1.069,0.129,-15.750,-18.300,-36.000,34.4
16:30:26.966,6235924,3.153,-5.035,-2.957,0.078,0.993,-0.381,-13.350,-16.500,-31.350,34.4
16:30:27.025,6235978,5.284,-4.908,-2.823,-0.463,1.388,-0.994,-13.350,-16.500,-31.350,34.7
16:30:27.085,6236032,6.184,-6.898,-4.683,-0.063,1.280,-0.924,-17.400,-16.500,-31.800,34.6
16:30:27.147,6236086,7.302,-6.333,-3.383,0.241,1.467,-0.639,-17.400,-16.500,-31.800,34.7
16:30:27.205,6236140,7.118,-7.389,-4.051,0.216,1.519,-0.715,-19.650,-14.550,-27.300,34.5
16:30:27.265,6236194,8.013,-6.072,-3.225,-0.037,1.486,-0.831,-19.650,-14.550,-27.300,34.6
16:30:27.327,6236248,7.798,-6.754,-3.752,-0.107,1.541,-0.793,-18.900,-14.250,-23.400,34.7
16:30:27.387,6236302,7.714,-5.406,-2.875,-0.302,1.289,-0.923,-18.900,-14.250,-23.400,34.6
16:30:27.387,6236356,8.811,-5.255,-2.229,-0.204,1.039,-1.110,-18.900,-14.250,-23.400,34.4
16:30:27.445,6236410,9.620,-4.930,-2.485,-0.248,0.978,-1.019,-22.800,-9.000,-18.000,34.7
16:30:27.505,6236464,10.168,-3.249,-0.474,-0.618,0.990,-0.965,-22.800,-9.000,-18.000,34.6
16:30:27.565,6236518,10.676,-4.288,-1.954,-0.851,0.914,-0.728,-24.750,-7.050,-18.000,34.6
16:30:27.625,6236572,10.063,-3.534,-0.998,-1.155,0.863,-0.844,-24.750,-7.050,-18.000,34.6
16:30:27.685,6236626,9.404,-2.598,-0.950,-0.948,0.916,-0.531,-25.500,-4.800,-19.500,34.6
16:30:27.805,6236680,8.914,-3.824,-0.390,-0.968,0.774,-0.405,-25.500,-4.800,-19.500,34.6
16:30:27.806,6236734,8.669,-3.213,0.565,-0.724,0.371,-0.515,-26.250,-2.100,-18.450,34.6
16:30:27.867,6236788,8.602,-9.213,-3.086,-0.045,0.014,-0.410,-26.250,-2.100,-18.450,34.8
16:30:27.927,6236842,11.638,-6.424,-2.509,-0.674,-0.476,0.408,-26.250,-2.100,-18.450,34.5
16:30:27.928,6236896,10.882,-6.194,-2.363,-0.201,-0.606,0.904,-26.250,-2.100,-18.450,34.4
16:30:27.986,6236950,9.759,-5.107,-2.243,-0.884,-0.807,1.319,-26.700,-2.700,-24.750,34.7
16:30:28.047,6237004,10.350,-6.048,-2.375,-0.665,-1.162,1.434,-22.650,-4.950,-26.550,34.7
16:30:28.107,6237058,10.633,-5.114,-2.219,-1.051,-1.038,1.555,-22.650,-4.950,-26.550,34.7
16:30:28.167,6237112,10.779,-5.578,-2.689,-0.621,-0.981,1.655,-18.750,-8.700,-29.700,34.6
16:30:28.225,6237166,8.689,-5.969,-4.362,-0.026,-0.893,1.807,-18.750,-8.700,-29.700,34.7
16:30:28.286,6237220,8.100,-6.879,-5.097,-0.040,-1.078,1.893,-16.200,-11.700,-31.950,34.7
16:30:28.347,6237274,6.436,-6.242,-5.138,0.052,-1.179,1.926,-16.200,-11.700,-31.950,34.8
16:30:28.405,6237328,5.442,-7.468,-5.531,-0.464,-1.374,1.683,-16.200,-11.700,-31.950,34.5
16:30:28.466,6237382,4.559,-6.357,-4.764,-0.147,-1.464,1.437,-16.200,-11.700,-31.950,34.4
16:30:28.467,6237436,3.764,-7.013,-5.521,0.324,-1.470,1.306,-5.550,-19.200,-34.350,34.4
