timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
21:31:00.169,3377952,-8.119,0.354,-0.735,-2.690,0.337,-0.293,45.750,21.900,-36.900,32.5
21:31:00.222,3378006,-7.942,-0.560,-1.580,-1.705,0.336,-0.540,46.350,27.150,-34.500,32.5
21:31:00.275,3378060,-9.594,1.068,-1.781,-1.745,0.371,-0.487,46.350,27.150,-34.500,32.5
21:31:00.327,3378114,-10.501,2.205,0.781,-2.211,0.588,-0.654,46.350,27.150,-34.500,32.5
21:31:00.388,3378168,-9.519,-1.879,-2.701,-2.065,0.693,-0.481,46.350,27.150,-34.500,32.4
21:31:00.446,3378222,-10.106,0.441,-2.392,-2.382,0.729,-0.527,46.950,27.000,-29.550,32.5
21:31:00.494,3378276,-9.960,0.807,-2.459,-2.405,0.933,-0.392,46.950,27.750,-28.800,32.3
21:31:00.546,3378330,-9.847,2.828,-1.683,-2.246,0.902,-0.489,46.950,27.750,-28.800,32.3
21:31:00.597,3378384,-8.777,3.421,-2.729,-2.207,0.519,-0.671,45.450,28.500,-28.050,32.5
21:31:00.657,3378438,-9.175,7.357,-2.909,-4.318,-0.014,-0.642,45.450,28.500,-28.050,32.5
21:31:00.711,3378492,-7.458,-1.760,-3.347,-1.167,0.574,-0.547,45.450,28.500,-28.050,32.5
21:31:00.762,3378546,-10.819,6.922,-4.721,0.070,0.545,-0.769,45.450,28.500,-28.050,32.5
21:31:00.815,3378600,-9.565,-1.331,-4.769,-1.834,0.478,-0.337,48.000,24.300,-25.950,32.6
21:31:00.867,3378654,-9.129,2.246,-0.362,-1.022,0.332,-0.118,48.000,24.300,-25.950,32.8
21:31:00.928,3378708,-7.714,1.362,-2.799,-0.949,0.134,0.264,48.150,24.450,-25.350,32.4
21:31:00.981,3378762,-8.880,3.462,-1.025,-0.394,-0.605,0.325,48.150,24.450,-25.350,32.5
21:31:01.032,3378816,-7.408,4.887,-2.516,-0.505,-0.456,0.551,48.150,24.450,-25.350,32.5
21:31:01.085,3378870,-7.096,4.647,0.443,-0.038,-0.459,0.577,47.400,26.400,-20.550,32.5
21:31:01.137,3378924,-8.942,8.918,-0.960,0.297,-0.223,0.784,47.400,26.400,-20.550,32.6
21:31:01.197,3378978,-12.881,5.112,-0.771,-1.348,-0.458,0.456,44.850,28.800,-18.450,32.5
21:31:01.250,3379032,-15.957,7.161,-1.736,-0.646,-0.560,0.475,44.850,28.800,-18.450,32.5
21:31:01.310,3379086,-15.105,6.721,-2.102,0.827,-0.317,0.495,41.700,31.200,-12.750,32.5
21:31:01.355,3379140,-13.113,5.612,-1.671,0.065,-0.291,0.348,41.700,31.200,-12.750,32.3
21:31:01.408,3379194,-10.817,5.440,-0.318,0.000,-0.055,-0.029,41.850,34.950,-11.400,32.5
21:31:01.468,3379248,-9.706,3.330,-0.419,0.099,-0.054,-0.684,41.850,34.950,-11.400,32.4
21:31:01.520,3379302,-6.826,-2.325,-2.009,0.535,-0.212,-0.727,41.100,31.500,-9.600,32.5
21:31:01.601,3379356,-9.390,6.498,0.424,0.561,-0.138,-1.271,41.100,31.500,-9.600,32.5
21:31:01.653,3379410,-7.671,0.045,-1.250,0.474,0.206,-0.825,43.350,27.150,-11.400,32.5
21:31:01.706,3379464,-9.105,1.688,-0.613,1.276,0.419,-1.228,43.350,27.150,-11.400,32.5
21:31:01.811,3379518,-7.645,-0.469,-1.386,-0.068,0.243,-1.108,46.350,22.500,-13.200,32.3
21:31:01.813,3379572,-7.300,0.474,-2.126,1.533,0.060,-1.276,48.000,20.100,-12.750,32.7
21:31:01.864,3379626,-10.635,4.841,-2.658,1.945,-0.371,-1.107,48.000,20.100,-12.750,32.5
21:31:01.916,3379680,-4.736,-7.537,-2.713,-1.232,-1.037,-1.766,49.050,15.000,-13.050,32.3
21:31:01.969,3379734,-4.599,-7.827,-1.422,2.419,-0.565,-1.705,49.050,15.000,-13.050,32.3
21:31:02.021,3379788,-9.792,12.553,0.596,1.509,0.849,-0.087,49.050,15.000,-13.050,32.6
21:31:02.073,3379842,-4.424,-0.855,-1.063,-1.192,0.977,1.330,49.050,15.000,-13.050,32.4
21:31:02.126,3379896,-7.355,1.879,-3.780,0.546,1.158,1.851,50.850,16.350,-12.150,32.4
21:31:02.179,3379950,-12.215,3.857,-2.840,-2.051,0.571,1.179,50.850,16.350,-12.150,32.5
21:31:02.283,3380004,-7.987,-0.551,-2.641,-0.195,0.214,1.059,48.750,23.550,-17.100,32.5
21:31:02.286,3380058,-7.848,0.508,-3.342,-0.421,0.263,1.053,48.750,23.550,-17.100,32.5
21:31:02.336,3380112,-9.110,-0.476,-2.792,-0.359,0.190,0.664,48.750,23.550,-17.100,32.4
21:31:02.388,3380166,-9.237,3.938,-2.794,-0.779,0.384,0.676,46.950,30.150,-18.150,32.4
21:31:02.441,3380220,-9.967,3.479,-3.570,-0.972,0.335,0.568,46.950,30.150,-18.150,32.3
21:31:02.494,3380274,-10.807,8.325,-2.823,0.038,0.262,0.836,45.600,32.250,-19.050,32.6
21:31:02.548,3380328,-8.875,6.108,-2.837,-0.344,-0.060,0.790,45.600,32.250,-19.050,32.5
21:31:02.599,3380382,-7.570,3.534,-2.150,-1.537,-0.126,0.369,42.900,35.700,-18.000,32.5
21:31:02.704,3380436,-8.229,5.248,-1.058,-0.399,0.264,-0.100,42.900,35.700,-18.000,32.6
21:31:02.706,3380490,-9.199,6.019,-1.365,-0.388,0.503,-0.210,42.450,35.550,-17.100,32.5
21:31:02.809,3380544,-9.206,5.526,-2.851,0.596,0.435,-0.544,42.450,35.550,-17.100,32.5
21:31:02.810,3380598,-9.641,5.409,-2.969,-0.680,0.110,-0.393,44.700,35.850,-17.100,32.5
