timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temperature_c,flex_raw,flex_voltage,glitch_flag
493124,0.907,-2.737,-9.318,0.002,-0.005,0.018,-170.4,71.7,-79.8,27.5,1429,1.152,0
493178,0.991,-2.701,-9.263,0.009,-0.018,0.034,-171.75,71.1,-82.2,27.6,1461,1.177,0
493232,0.912,-2.756,-9.345,-0.001,-0.007,-0.003,-171.75,71.1,-82.2,27.7,1559,1.256,0
493286,0.929,-2.777,-9.328,0.032,-0.036,0.103,-170.1,69.3,-81.6,27.8,1723,1.388,0
493340,0.905,-2.804,-9.345,-0.014,0.027,-0.106,-172.35,71.7,-81.6,27.3,1792,1.444,0
493394,0.895,-2.768,-9.301,0.008,-0.002,0.029,-172.35,71.7,-81.6,27.5,1512,1.218,0
493448,0.912,-2.71,-9.299,-0.015,0.022,-0.061,-170.85,71.25,-80.25,27.6,1568,1.264,0
493502,0.831,-2.792,-9.301,-0.006,0.014,-0.01,-170.85,71.25,-80.25,27.6,1486,1.198,0
493556,0.936,-2.713,-9.328,-0.011,0.015,-0.026,-170.85,71.25,-80.25,27.6,1432,1.154,0
493610,1.01,-2.722,-9.337,-0.028,0.044,-0.151,-170.85,71.25,-80.25,27.6,1180,0.951,0
493664,0.479,-2.602,-9.258,0.014,0.007,-0.039,-170.85,70.5,-80.55,27.7,757,0.61,0
493718,1.927,-2.746,-10.096,0.293,0.07,-0.121,-170.85,70.5,-80.55,27.7,571,0.46,0
493772,0.749,-2.801,-9.273,-0.004,0.033,-0.074,-170.85,70.5,-80.55,27.4,224,0.181,0
493826,1.159,-3.306,-9.258,-0.002,0.102,-0.16,-170.85,70.5,-80.55,27.6,311,0.251,0
493880,0.79,-2.935,-9.562,-0.081,-0.111,-0.122,-170.55,71.1,-81.15,27.6,272,0.219,0
493934,1.336,-2.32,-8.868,-0.164,-0.179,-0.013,-170.55,71.1,-81.15,27.6,267,0.215,0
493988,1.118,-2.33,-9.196,0.024,-0.055,-0.117,-170.55,71.1,-81.15,27.7,467,0.376,0
494042,0.761,-2.708,-9.457,-0.074,-0.102,-0.077,-169.8,76.95,-86.55,27.5,605,0.488,0
494096,0.828,-3.627,-9.493,0.008,-0.034,0.106,-169.8,76.95,-86.55,27.8,583,0.47,0
494150,0.749,-2.591,-9.282,0.004,-0.02,0.004,-170.4,77.4,-88.95,27.7,528,0.425,0
494204,0.534,-3.093,-9.007,0.142,-0.221,0.107,-170.4,77.4,-88.95,27.9,684,0.551,0
494258,0.469,-2.715,-9.335,-0.066,-0.133,0.134,-169.5,75.0,-91.35,27.4,710,0.572,0
494312,0.678,-2.662,-9.474,0.15,-0.042,0.131,-169.5,75.0,-91.35,27.6,88,0.071,0
494366,0.464,-2.792,-9.359,0.046,0.066,0.041,-170.1,75.6,-95.55,27.6,58,0.047,0
494420,0.543,-2.763,-9.524,0.186,0.105,0.05,-170.1,75.6,-95.55,27.5,25,0.02,0
494474,1.104,-2.722,-9.464,-0.11,0.165,0.011,-171.6,70.95,-94.8,27.7,5,0.004,0
494528,0.769,-2.88,-10.218,-0.382,0.103,0.291,-169.65,70.05,-93.3,27.8,0,0.0,0
494582,1.815,-2.859,-7.393,-0.288,0.117,0.078,-169.65,70.05,-93.3,27.6,0,0.0,0
494636,0.563,-3.44,-9.905,-0.329,-0.216,0.11,-163.65,74.7,-94.05,27.6,0,0.0,0
