timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
21:06:12.602,1890354,-1.901,-8.128,5.358,-1.300,-0.704,1.280,3.150,-36.450,3.000,32.8
21:06:12.661,1890408,-1.856,-9.910,3.654,-0.248,-0.927,1.485,3.150,-36.450,3.000,32.8
21:06:12.720,1890462,-2.828,-9.160,2.708,-0.414,-1.211,1.677,8.700,-36.450,-3.450,32.8
21:06:12.765,1890516,-3.438,-10.329,3.519,-1.450,-1.386,1.506,8.700,-36.450,-3.450,32.8
21:06:12.826,1890570,-3.414,-13.379,4.705,-1.821,-1.485,1.911,16.650,-36.600,-6.450,32.8
21:06:12.871,1890624,-5.930,-12.567,2.672,-1.925,-1.421,2.339,16.650,-36.600,-6.450,33.0
21:06:12.930,1890678,-4.061,-13.020,4.776,-2.215,-0.833,2.860,16.650,-36.600,-6.450,33.0
21:06:12.990,1890732,-4.580,-10.843,3.555,-2.194,-0.464,2.914,16.650,-36.600,-6.450,32.9
21:06:13.050,1890786,-5.239,-8.885,3.505,-2.660,-0.371,2.286,33.900,-28.950,-18.900,33.0
21:06:13.110,1890840,-4.618,-6.275,4.123,-2.520,-0.329,1.734,41.100,-16.350,-27.900,32.9
21:06:13.141,1890894,-5.617,-4.978,1.195,-2.146,-0.200,1.242,41.100,-16.350,-27.900,32.8
21:06:13.201,1890948,-7.281,-3.680,0.127,-2.668,-0.641,0.823,43.200,-9.150,-31.050,33.0
21:06:13.260,1891002,-5.930,-3.723,0.105,-2.324,-0.651,0.715,43.200,-9.150,-31.050,32.8
21:06:13.305,1891056,-9.359,-4.738,-0.599,-3.241,-0.474,0.525,41.850,-1.650,-30.750,33.1
21:06:13.365,1891110,-8.813,-4.532,0.551,-2.377,-0.355,0.552,41.850,-1.650,-30.750,32.9
21:06:13.409,1891164,-8.411,-3.814,-0.570,-1.460,-0.123,0.932,42.000,4.500,-29.850,32.7
21:06:13.469,1891218,-7.748,-3.146,-0.098,-1.217,0.187,1.246,42.000,4.500,-29.850,32.9
21:06:13.529,1891272,-7.776,-2.789,-0.754,-0.950,0.489,1.725,41.250,11.550,-28.500,32.8
21:06:13.575,1891326,-6.936,1.621,0.601,-0.421,0.883,1.957,41.250,11.550,-28.500,32.8
21:06:13.636,1891380,-6.304,2.667,-4.470,-0.753,0.748,2.210,41.250,11.550,-28.500,33.1
21:06:13.680,1891434,-7.484,3.891,-0.546,-0.503,0.789,2.183,41.250,11.550,-28.500,32.8
21:06:13.740,1891488,-7.415,4.317,-6.203,-0.873,1.160,1.527,33.900,29.250,-30.300,32.6
21:06:13.816,1891542,-6.744,5.167,-3.005,-1.330,0.809,0.914,30.150,33.600,-31.350,32.8
21:06:13.845,1891596,-5.291,3.723,-4.877,-1.199,0.850,0.934,30.150,33.600,-31.350,32.9
21:06:13.906,1891650,-7.022,5.739,-3.565,-0.605,1.115,0.887,25.200,37.050,-27.750,32.6
21:06:13.979,1891704,-6.084,4.946,-3.776,-0.421,1.038,1.054,25.200,37.050,-27.750,32.9
21:06:14.040,1891758,-5.100,4.125,-3.838,-0.010,1.269,1.201,25.200,37.050,-27.750,32.8
21:06:14.100,1891812,-4.561,8.282,-3.766,-0.731,1.353,0.985,25.200,37.050,-27.750,32.8
21:06:14.160,1891866,-4.022,8.006,-5.004,-2.123,1.009,0.930,14.250,43.050,-29.700,33.0
21:06:14.220,1891920,-2.464,5.856,-3.493,-1.175,0.939,0.819,14.250,43.050,-29.700,32.7
21:06:14.222,1891974,-2.442,9.574,-6.819,-0.589,0.576,0.763,10.500,46.950,-23.550,32.6
21:06:14.280,1892028,-1.176,7.034,-3.821,-0.701,0.456,0.603,10.500,46.950,-23.550,33.0
21:06:14.340,1892082,-2.042,8.320,-3.845,-0.175,0.464,0.504,10.500,46.950,-23.550,33.1
21:06:14.400,1892136,-2.770,9.634,-3.385,-0.493,0.637,0.520,4.650,47.250,-21.300,32.9
