timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:48:27.556,3716476,-9.409,-3.091,-1.164,-0.378,-0.005,-0.016,41.100,-13.200,-26.850,34.4
15:48:27.617,3716530,-9.392,-3.029,-1.077,-0.234,-0.038,-0.038,41.100,-13.200,-26.850,34.3
15:48:27.662,3716584,-9.385,-3.093,-1.173,-0.111,-0.069,-0.020,41.100,-13.200,-26.850,34.3
15:48:27.722,3716638,-9.378,-3.179,-1.132,0.040,-0.049,-0.030,40.500,-13.500,-28.800,34.5
15:48:27.767,3716692,-9.244,-3.239,-1.056,0.003,-0.030,0.000,40.800,-14.400,-30.150,34.4
15:48:27.827,3716746,-9.323,-2.907,-1.223,-0.039,-0.002,-0.032,40.800,-14.400,-30.150,34.4
15:48:27.887,3716800,-9.383,-2.792,-1.231,-0.339,-0.042,-0.023,41.250,-13.500,-29.850,34.4
15:48:27.933,3716854,-9.278,-2.897,-1.154,-0.417,-0.021,-0.038,41.250,-13.500,-29.850,34.4
15:48:27.993,3716908,-9.182,-3.153,-1.195,-0.566,0.001,-0.046,41.700,-12.750,-29.850,34.3
15:48:28.037,3716962,-9.299,-3.139,-1.290,-0.457,0.032,-0.051,41.700,-12.750,-29.850,34.3
15:48:28.098,3717016,-9.275,-2.974,-1.477,-0.505,-0.017,-0.018,41.700,-12.750,-29.850,34.4
15:48:28.156,3717070,-9.184,-3.440,-1.532,-0.384,-0.009,0.010,41.700,-12.750,-29.850,34.2
15:48:28.201,3717124,-9.369,-3.129,-1.642,0.010,0.031,-0.021,41.850,-11.700,-33.000,34.3
15:48:28.262,3717178,-9.290,-2.763,-1.726,-0.037,-0.004,-0.036,41.850,-11.700,-33.000,34.4
15:48:28.307,3717232,-9.196,-3.282,-1.547,-0.050,-0.002,-0.016,39.750,-11.850,-32.100,34.4
15:48:28.368,3717286,-9.297,-2.816,-1.595,-0.025,0.008,-0.004,41.250,-11.100,-32.400,34.3
15:48:28.427,3717340,-9.179,-3.179,-1.492,-0.108,-0.023,0.062,41.250,-11.100,-32.400,34.5
