timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
21:38:01.940,3799732,-9.261,-4.389,0.429,0.734,0.172,-0.222,44.700,-16.500,-17.850,32.5
21:38:01.993,3799786,-9.141,-4.848,0.543,0.624,0.013,-0.141,44.700,-16.500,-17.850,32.6
21:38:02.045,3799840,-8.873,-4.312,0.548,0.637,-0.101,0.022,44.700,-16.500,-17.850,32.5
21:38:02.098,3799894,-8.708,-4.085,0.177,0.581,-0.189,0.152,44.700,-16.500,-17.850,32.5
21:38:02.157,3799948,-8.535,-3.857,0.170,0.305,-0.266,0.217,46.500,-15.750,-15.300,32.3
21:38:02.210,3800002,-8.880,-4.283,0.093,0.212,-0.346,0.175,46.500,-15.750,-15.300,32.6
21:38:02.262,3800056,-9.304,-3.986,0.385,0.159,-0.263,0.216,44.400,-14.850,-13.950,32.7
21:38:02.316,3800110,-9.486,-4.199,0.201,0.069,-0.031,0.128,44.400,-14.850,-13.950,32.7
21:38:02.377,3800164,-9.754,-3.759,0.338,0.066,0.013,0.109,44.400,-14.850,-13.950,32.6
21:38:02.429,3800218,-9.380,-3.692,0.314,0.224,0.084,-0.026,46.950,-12.300,-13.800,32.6
21:38:02.482,3800272,-9.127,-3.292,0.350,0.324,0.021,0.073,46.950,-12.300,-13.800,32.5
21:38:02.534,3800326,-8.875,-2.895,0.122,0.531,0.084,0.136,48.300,-12.750,-12.300,32.8
21:38:02.585,3800380,-9.019,-2.756,0.543,0.483,0.184,0.338,48.300,-12.750,-12.300,32.3
21:38:02.644,3800434,-9.220,-2.859,0.680,0.414,0.164,0.297,48.300,-12.750,-12.300,32.3
21:38:02.698,3800488,-9.440,-2.468,1.381,0.655,0.180,0.332,48.300,-12.750,-12.300,32.6
21:38:02.751,3800542,-9.771,-3.005,0.848,0.581,0.167,0.056,48.900,-9.000,-11.850,32.6
21:38:02.804,3800596,-10.092,-2.693,1.267,0.746,0.071,0.078,48.900,-9.000,-11.850,32.8
21:38:02.857,3800650,-9.732,-2.976,1.209,0.749,-0.029,0.172,48.750,-9.150,-12.000,32.5
21:38:02.909,3800704,-9.476,-2.753,1.324,0.868,0.013,0.092,48.750,-9.150,-12.000,32.6
21:38:02.968,3800758,-9.385,-2.330,1.528,0.673,-0.026,0.084,50.250,-7.200,-9.000,32.6
21:38:03.020,3800812,-9.946,-2.255,2.116,0.646,-0.019,0.025,50.250,-7.200,-9.000,32.7
21:38:03.073,3800866,-12.328,-3.888,1.671,0.919,0.013,-0.108,50.250,-5.400,-9.450,32.4
21:38:03.125,3800920,-13.350,-4.733,2.550,0.305,-0.045,-0.492,49.050,-7.200,-8.700,32.5
21:38:03.178,3800974,-12.062,-3.852,2.571,0.002,-0.151,-0.632,49.050,-7.200,-8.700,32.6
21:38:03.238,3801028,-10.975,-4.111,2.622,0.025,-0.134,-0.722,46.950,-8.400,-6.900,32.6
21:38:03.291,3801082,-10.240,-3.692,2.251,-0.125,-0.127,-0.588,46.950,-8.400,-6.900,32.5
21:38:03.388,3801136,-10.118,-3.543,2.672,0.054,-0.063,-0.349,46.950,-8.400,-6.900,32.7
21:38:03.440,3801190,-9.625,-3.984,2.452,-0.119,0.074,-0.160,46.950,-8.400,-6.900,32.3
21:38:03.491,3801244,-9.285,-2.746,2.105,0.009,0.175,0.031,43.350,-13.650,-6.300,32.6
21:38:03.544,3801298,-8.794,-4.008,1.887,-0.241,0.153,0.290,43.350,-13.650,-6.300,32.8
21:38:03.596,3801352,-8.250,-1.645,1.374,-0.150,-0.010,0.493,44.100,-11.400,-6.300,32.5
21:38:03.651,3801406,-8.258,-3.378,1.587,-0.180,0.019,0.560,44.100,-11.400,-6.300,32.4
21:38:03.702,3801460,-7.985,-2.682,1.796,0.056,0.145,0.583,44.100,-11.400,-6.300,32.5
21:38:03.755,3801514,-8.066,-2.545,1.425,-0.074,0.252,0.666,45.750,-8.400,-6.900,32.6
21:38:03.808,3801568,-8.701,-3.170,1.377,0.357,0.378,0.751,45.750,-8.400,-6.900,32.5
21:38:03.860,3801622,-9.110,-2.521,0.840,0.424,0.417,1.052,46.200,-8.100,-9.000,32.6
21:38:03.913,3801676,-9.426,-3.771,0.855,0.367,0.415,1.551,46.200,-8.100,-9.000,32.8
21:38:03.965,3801730,-5.385,2.964,-0.922,0.290,0.260,2.147,46.500,-0.750,-9.000,32.6
21:38:04.018,3801784,-4.906,1.518,-1.202,-2.185,-0.095,1.043,46.500,-0.750,-9.000,32.6
21:38:04.070,3801838,-7.578,-11.459,-3.203,-2.152,-0.079,-0.537,46.500,-0.750,-9.000,32.5
21:38:04.123,3801892,-4.820,0.462,-0.462,1.810,0.379,-2.375,46.500,-0.750,-9.000,32.4
21:38:04.174,3801946,-7.140,-2.859,1.025,-0.211,-0.155,-2.521,47.100,-1.350,-9.600,32.5
21:38:04.226,3802000,-7.568,-4.441,2.279,0.235,0.202,-1.710,47.100,-1.350,-9.600,32.8
21:38:04.279,3802054,-8.873,-1.427,0.237,-0.049,0.013,-1.215,43.650,-10.200,-10.350,32.5
21:38:04.332,3802108,-9.871,-3.141,-0.220,-0.067,0.102,-1.056,43.650,-10.200,-10.350,32.4
21:38:04.385,3802162,-9.498,-4.583,1.664,0.316,0.156,-0.817,43.650,-10.200,-10.350,32.6
21:38:04.437,3802216,-8.938,-5.746,1.317,0.120,0.248,-0.668,41.850,-16.800,-8.550,32.5
21:38:04.491,3802270,-8.468,-5.387,-0.670,0.210,0.009,-0.504,41.850,-16.800,-8.550,32.6
21:38:04.542,3802324,-8.856,-6.615,-0.132,-0.165,0.070,-0.203,41.550,-18.300,-9.300,32.4
21:38:04.594,3802378,-9.553,-4.257,0.757,-0.150,0.031,-0.026,41.550,-18.300,-9.300,32.7
21:38:04.647,3802432,-8.533,-6.302,-0.630,-0.094,0.189,0.117,40.050,-19.500,-11.400,32.6
21:38:04.699,3802486,-8.780,-5.353,0.546,-0.377,0.165,0.328,40.050,-19.500,-11.400,32.8
21:38:04.752,3802540,-9.361,-5.133,0.570,0.004,0.106,0.411,41.550,-16.800,-11.400,32.6
21:38:04.805,3802594,-9.591,-4.848,0.187,0.004,0.020,0.538,41.550,-16.800,-11.400,32.4
21:38:04.856,3802648,-9.424,-5.351,0.297,0.002,0.082,0.578,43.350,-15.150,-12.900,32.6
21:38:04.909,3802702,-9.524,-3.800,-0.354,-0.046,-0.015,0.389,43.350,-15.150,-12.900,32.6
21:38:04.962,3802756,-9.048,-4.073,-0.029,-0.158,0.051,0.307,45.750,-13.500,-12.000,32.4
21:38:05.014,3802810,-12.447,-5.267,0.093,0.071,0.011,-0.030,45.750,-13.500,-12.000,32.3
21:38:05.121,3802864,-13.795,-7.101,0.991,-0.264,-0.242,-0.671,45.750,-13.500,-12.000,32.6
21:38:05.122,3802918,-11.921,-7.293,1.132,-0.372,-0.254,-0.804,44.250,-14.550,-13.500,32.5
21:38:05.224,3802972,-10.494,-6.218,0.347,-0.236,-0.157,-0.469,44.250,-14.550,-13.500,32.5
21:38:05.277,3803026,-9.950,-5.863,0.962,-0.295,-0.129,-0.329,42.150,-16.350,-11.400,32.5
21:38:05.329,3803080,-9.096,-4.925,-0.077,-0.225,-0.200,-0.117,42.150,-16.350,-11.400,32.5
21:38:05.382,3803134,-8.514,-5.265,-0.168,-0.103,-0.149,0.319,42.150,-16.350,-11.400,32.5
21:38:05.434,3803188,-8.720,-4.058,0.299,-0.118,-0.150,0.605,42.150,-16.350,-11.400,32.7
21:38:05.487,3803242,-9.026,-4.606,0.113,-0.236,0.040,0.645,41.250,-16.200,-11.250,32.5
21:38:05.539,3803296,-8.964,-3.821,0.024,-0.178,0.139,0.645,41.250,-16.200,-11.250,32.4
21:38:05.591,3803350,-8.981,-4.092,-0.383,-0.040,0.255,0.833,43.350,-13.650,-12.600,32.7
21:38:05.644,3803404,-9.191,-4.427,-0.572,-0.205,0.123,1.322,44.100,-11.700,-13.650,32.6
21:38:05.697,3803458,-7.022,-2.083,-0.869,-0.147,0.339,1.855,44.100,-11.700,-13.650,32.7
21:38:05.749,3803512,-3.797,1.049,-2.167,-1.657,0.071,2.134,48.750,-7.200,-13.500,32.7
21:38:05.801,3803566,-2.028,-4.374,-0.520,-1.064,0.134,0.470,48.750,-7.200,-13.500,32.6
21:38:05.855,3803620,-3.503,-0.093,-2.430,0.637,0.032,-1.743,48.750,-2.700,-16.800,32.6
21:38:05.908,3803674,-6.330,-1.659,-1.954,0.844,-0.161,-1.916,48.750,-2.700,-16.800,32.6
21:38:05.960,3803728,-8.820,-4.532,-0.373,0.482,0.089,-1.303,46.950,-9.150,-15.600,32.3
21:38:06.013,3803782,-9.682,-2.545,-0.086,0.565,0.188,-0.970,46.950,-9.150,-15.600,32.3
21:38:06.066,3803836,-10.111,-5.224,-0.608,-0.021,0.261,-0.462,46.950,-9.150,-15.600,32.6
21:38:06.118,3803890,-9.400,-3.345,-1.448,-0.171,0.018,-0.273,46.950,-9.150,-15.600,32.8
21:38:06.171,3803944,-8.686,-4.602,-1.671,0.015,0.000,-0.199,43.650,-15.900,-13.200,32.6
21:38:06.274,3803998,-9.285,-4.322,-1.228,-0.079,-0.179,0.017,44.400,-15.600,-15.150,32.4
21:38:06.276,3804052,-9.780,-3.843,-0.381,-0.002,-0.225,0.089,44.400,-15.600,-15.150,32.5
21:38:06.327,3804106,-9.414,-4.685,-0.335,0.343,-0.059,-0.128,44.400,-15.600,-15.150,32.5
