imu_1,imu_2,imu_3,imu_4,imu_5,imu_6,imu_7,imu_8,imu_9,imu_10,imu_11,flex_start,flex_end,flex_x_interpolated
493124,0.907,-2.737,-9.318,0.002,-0.005,0.018,-170.4,71.7,-79.8,27.5,1429,1.152,1429.0
493178,0.991,-2.701,-9.263,0.009,-0.018,0.034,-171.75,71.1,-82.2,27.6,1461,1.177,1428.5760901809551
493232,0.912,-2.756,-9.345,-0.001,-0.007,-0.003,-171.75,71.1,-82.2,27.7,1559,1.256,1428.1521803619105
493286,0.929,-2.777,-9.328,0.032,-0.036,0.103,-170.1,69.3,-81.6,27.8,1723,1.388,1427.7282705428656
493340,0.905,-2.804,-9.345,-0.014,0.027,-0.106,-172.35,71.7,-81.6,27.3,1792,1.444,1427.3043607238208
493394,0.895,-2.768,-9.301,0.008,-0.002,0.029,-172.35,71.7,-81.6,27.5,1512,1.218,1426.8804509047761
493448,0.912,-2.71,-9.299,-0.015,0.022,-0.061,-170.85,71.25,-80.25,27.6,1568,1.264,1426.4565410857313
493502,0.831,-2.792,-9.301,-0.006,0.014,-0.01,-170.85,71.25,-80.25,27.6,1486,1.198,1426.0326312666864
493556,0.936,-2.713,-9.328,-0.011,0.015,-0.026,-170.85,71.25,-80.25,27.6,1432,1.154,1425.6087214476418
493610,1.01,-2.722,-9.337,-0.028,0.044,-0.151,-170.85,71.25,-80.25,27.6,1180,0.951,1425.184811628597
493664,0.479,-2.602,-9.258,0.014,0.007,-0.039,-170.85,70.5,-80.55,27.7,757,0.61,1424.760901809552
493718,1.927,-2.746,-10.096,0.293,0.07,-0.121,-170.85,70.5,-80.55,27.7,571,0.46,1424.3369919905072
493772,0.749,-2.801,-9.273,-0.004,0.033,-0.074,-170.85,70.5,-80.55,27.4,224,0.181,1423.9130821714625
493826,1.159,-3.306,-9.258,-0.002,0.102,-0.16,-170.85,70.5,-80.55,27.6,311,0.251,1423.4891723524177
493880,0.79,-2.935,-9.562,-0.081,-0.111,-0.122,-170.55,71.1,-81.15,27.6,272,0.219,1423.0652625333728
493934,1.336,-2.32,-8.868,-0.164,-0.179,-0.013,-170.55,71.1,-81.15,27.6,267,0.215,1422.6413527143281
493988,1.118,-2.33,-9.196,0.024,-0.055,-0.117,-170.55,71.1,-81.15,27.7,467,0.376,1422.2174428952833
494042,0.761,-2.708,-9.457,-0.074,-0.102,-0.077,-169.8,76.95,-86.55,27.5,605,0.488,1421.7935330762384
494096,0.828,-3.627,-9.493,0.008,-0.034,0.106,-169.8,76.95,-86.55,27.8,583,0.47,1421.3696232571938
494150,0.749,-2.591,-9.282,0.004,-0.02,0.004,-170.4,77.4,-88.95,27.7,528,0.425,1420.945713438149
494204,0.534,-3.093,-9.007,0.142,-0.221,0.107,-170.4,77.4,-88.95,27.9,684,0.551,1420.521803619104
494258,0.469,-2.715,-9.335,-0.066,-0.133,0.134,-169.5,75.0,-91.35,27.4,710,0.572,1420.0978938000594
494312,0.678,-2.662,-9.474,0.15,-0.042,0.131,-169.5,75.0,-91.35,27.6,88,0.071,1419.6739839810145
494366,0.464,-2.792,-9.359,0.046,0.066,0.041,-170.1,75.6,-95.55,27.6,58,0.047,1419.2500741619697
494420,0.543,-2.763,-9.524,0.186,0.105,0.05,-170.1,75.6,-95.55,27.5,25,0.02,1418.826164342925
494474,1.104,-2.722,-9.464,-0.11,0.165,0.011,-171.6,70.95,-94.8,27.7,5,0.004,1418.4022545238802
494528,0.769,-2.88,-10.218,-0.382,0.103,0.291,-169.65,70.05,-93.3,27.8,0,0.0,1417.9783447048353
494582,1.815,-2.859,-7.393,-0.288,0.117,0.078,-169.65,70.05,-93.3,27.6,0,0.0,1417.5544348857907
494636,0.563,-3.44,-9.905,-0.329,-0.216,0.11,-163.65,74.7,-94.05,27.6,0,0.0,1417.1305250667458
494690,1.027,-2.444,-9.941,0.013,-0.043,0.307,-163.65,74.7,-94.05,27.8,5,0.004,1416.706615247701
494744,0.565,-2.054,-9.519,-0.499,0.094,0.083,-161.25,70.65,-97.5,27.5,47,0.038,1416.282705428656
494798,0.275,-2.729,-10.29,-0.04,0.152,0.215,-161.25,70.65,-97.5,27.4,55,0.044,1415.8587956096114
494852,0.151,-1.171,-10.4,-0.205,-0.056,0.325,-161.25,70.65,-97.5,27.6,86,0.069,1415.4348857905666
494906,0.474,-0.35,-10.063,-0.599,-0.14,0.229,-161.25,70.65,-97.5,27.5,87,0.07,1415.0109759715217
494960,-2.289,1.487,-10.659,-1.096,0.669,0.817,-152.55,58.5,-102.9,27.9,61,0.049,1414.587066152477
495014,5.94,-5.389,-7.369,-0.382,0.52,1.078,-152.55,58.5,-102.9,27.6,79,0.064,1414.1631563334322
495068,-3.385,2.368,-11.059,-0.22,-0.032,-0.619,-152.55,58.5,-102.9,27.4,115,0.093,1413.7392465143873
495122,0.29,0.278,-9.234,-0.896,-0.334,-0.143,-152.55,58.5,-102.9,27.6,153,0.123,1413.3153366953427
495176,1.882,-1.252,-9.57,-0.886,-0.044,0.151,-138.6,51.0,-96.45,27.6,136,0.11,1412.8914268762978
495230,1.065,0.16,-8.947,-0.102,0.365,0.369,-138.6,51.0,-96.45,27.5,168,0.135,1412.467517057253
495284,0.45,0.359,-9.649,-0.476,0.126,0.282,-138.6,51.0,-96.45,27.4,328,0.264,1412.0436072382083
495338,1.25,0.412,-9.385,-0.026,-0.176,0.159,-126.0,40.65,-91.5,27.8,567,0.457,1411.6196974191635
495392,1.381,0.23,-10.094,-0.138,0.244,0.288,-126.0,40.65,-91.5,27.5,819,0.66,1411.1957876001186
495446,0.752,1.166,-9.787,-0.092,-0.121,0.117,-121.65,35.25,-88.2,27.6,875,0.705,1410.771877781074
495500,1.623,0.594,-10.326,-0.09,-0.164,0.042,-121.65,35.25,-88.2,27.4,901,0.726,1410.347967962029
495554,1.19,1.168,-8.777,-0.193,-0.123,-0.083,-115.2,30.6,-91.95,27.6,1091,0.879,1409.9240581429842
495608,1.034,0.225,-9.905,0.128,-0.149,-0.064,-115.2,30.6,-91.95,27.9,1274,1.027,1409.5001483239396
495662,1.3,0.879,-9.342,-0.038,-0.285,-0.129,-106.5,28.2,-88.8,27.6,1303,1.05,1409.0762385048947
