timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
11:03:15.591,226648,-2.246,8.727,3.903,-0.043,0.003,0.022,31.800,59.100,21.450,31.2
11:03:15.651,226703,-2.217,8.717,3.922,-0.061,-0.018,-0.007,31.800,59.100,21.450,31.1
11:03:15.712,226758,-2.025,8.684,3.742,-0.097,-0.044,-0.007,31.800,58.800,22.200,31.2
11:03:15.757,226813,-1.884,8.732,3.766,-0.063,-0.048,-0.025,31.800,58.800,22.200,31.1
11:03:15.817,226868,-2.004,8.624,3.780,-0.047,-0.041,-0.010,31.650,57.900,23.100,31.2
11:03:15.877,226923,-2.028,8.643,3.759,-0.023,-0.014,-0.009,31.050,58.050,23.400,31.0
11:03:15.922,226978,-2.231,8.588,3.912,-0.000,0.002,0.007,31.050,58.050,23.400,31.2
11:03:15.982,227033,-1.987,8.681,3.910,-0.022,-0.026,0.007,33.600,60.000,23.850,31.2
11:03:16.042,227088,-2.169,8.717,3.946,-0.048,0.005,-0.004,33.600,60.000,23.850,31.3
11:03:16.087,227143,-2.040,8.736,3.807,-0.072,0.010,-0.011,30.150,58.950,22.350,31.1
11:03:16.147,227198,-2.184,8.739,3.797,-0.076,-0.030,-0.013,30.150,58.950,22.350,31.2
11:03:16.207,227253,-2.097,8.708,3.721,-0.059,-0.043,-0.009,31.500,60.600,22.950,31.2
11:03:16.252,227308,-1.997,8.686,3.824,-0.041,-0.019,-0.009,31.500,60.600,22.950,31.1
11:03:16.312,227363,-2.124,8.866,3.867,-0.060,0.031,-0.001,31.650,57.900,22.050,31.2
11:03:16.372,227418,-2.512,8.945,4.432,-0.321,0.057,-0.152,33.600,59.700,23.100,31.2
11:03:16.417,227473,-3.220,8.657,4.592,-0.513,-0.112,-0.370,33.600,59.700,23.100,31.3
11:03:16.477,227528,-2.437,8.361,4.278,-0.517,-0.274,-0.417,33.600,59.700,23.100,31.3
11:03:16.538,227583,-2.483,8.329,4.752,-0.514,-0.104,-0.416,33.600,59.700,23.100,31.2
11:03:16.582,227638,-3.285,8.578,5.586,-0.678,0.085,-0.513,34.200,54.450,28.800,31.2
11:03:16.642,227693,-3.816,7.714,6.172,-0.848,0.276,-0.760,34.200,54.450,28.800,31.1
11:03:16.702,227748,-5.164,7.755,6.225,-0.938,0.472,-1.188,34.800,52.500,30.750,31.2
11:03:16.747,227803,-5.437,7.228,6.677,-1.190,0.415,-1.351,34.800,52.500,30.750,31.2
11:03:16.807,227858,-6.199,6.682,6.902,-1.370,0.756,-1.438,34.800,52.500,30.750,31.3
11:03:16.867,227913,-6.828,5.777,7.082,-1.545,0.847,-1.705,39.000,38.400,31.500,31.2
11:03:16.912,227968,-6.991,4.774,7.355,-1.871,0.768,-1.922,39.000,38.400,31.500,31.1
11:03:17.017,228023,-7.290,3.251,7.257,-2.118,0.933,-1.928,39.600,25.950,31.350,31.2
11:03:17.077,228078,-7.465,1.719,6.012,-2.240,1.027,-1.947,39.600,25.950,31.350,30.9
11:03:17.078,228133,-7.405,0.783,6.335,-2.249,0.641,-2.025,39.600,25.950,31.350,31.2
11:03:17.137,228188,-7.389,-0.225,5.727,-2.233,0.645,-2.063,39.600,25.950,31.350,31.2
11:03:17.197,228243,-6.797,-2.016,5.090,-2.184,0.322,-1.917,38.250,7.350,29.400,30.9
11:03:17.257,228298,-7.128,-3.220,4.432,-1.998,0.369,-1.824,38.250,7.350,29.400,31.2
11:03:17.317,228353,-6.756,-4.199,3.721,-1.862,0.228,-1.758,36.900,-3.600,26.250,31.1
11:03:17.377,228408,-5.873,-5.672,3.381,-1.761,0.521,-1.652,36.900,-3.600,26.250,31.2
11:03:17.437,228463,-6.122,-6.428,2.140,-1.775,0.030,-1.445,31.500,-11.550,22.650,30.9
11:03:17.497,228518,-4.743,-7.051,0.840,-1.570,0.526,-1.234,31.500,-11.550,22.650,31.1
11:03:17.557,228573,-4.597,-7.329,0.029,-1.604,0.197,-0.929,31.500,-11.550,22.650,31.3
11:03:17.617,228628,-4.298,-8.150,-0.390,-1.464,0.172,-0.782,27.150,-20.850,13.800,31.1
11:03:17.677,228683,-3.836,-8.418,-0.658,-1.184,0.044,-0.653,27.150,-20.850,13.800,31.3
11:03:17.737,228738,-3.469,-8.578,-1.480,-1.006,-0.224,-0.600,23.100,-21.450,8.850,31.3
11:03:17.737,228793,-3.112,-8.964,-2.756,-0.615,-0.175,-0.373,23.100,-21.450,8.850,31.0
11:03:17.797,228848,-2.136,-9.486,-4.240,0.132,-0.334,-0.034,23.100,-21.450,8.850,31.0
