timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:01:09.673,1680074,-6.981,1.997,4.803,0.063,1.411,-0.465,9.300,73.350,42.750,35.0
16:01:09.718,1680128,-8.001,1.810,3.888,0.127,1.196,-0.409,9.300,73.350,42.750,34.6
16:01:09.778,1680182,-8.176,2.152,3.649,0.231,0.888,-0.391,35.850,69.300,37.050,34.7
16:01:09.825,1680236,-8.406,1.310,3.824,0.633,0.747,-0.264,41.850,70.050,37.050,34.7
16:01:09.885,1680290,-8.784,2.349,3.558,0.160,0.394,-0.163,41.850,70.050,29.700,34.6
16:01:09.943,1680344,-8.464,2.219,3.850,-0.026,0.161,-0.142,44.100,67.800,29.700,34.6
16:01:09.989,1680398,-8.672,1.966,3.809,-0.083,0.003,-0.082,44.100,67.800,29.700,34.9
16:01:10.048,1680452,-8.758,1.676,3.979,0.033,-0.029,-0.048,45.000,66.900,29.250,34.7
16:01:10.093,1680506,-8.856,1.930,4.149,0.092,-0.041,-0.047,45.000,66.900,29.250,34.8
16:01:10.153,1680560,-8.904,2.303,4.353,0.056,-0.069,-0.014,45.000,66.900,29.250,34.6
16:01:10.213,1680614,-8.629,1.602,3.194,0.131,-0.151,-0.000,45.000,66.900,29.250,34.7
16:01:10.258,1680668,-8.528,1.611,3.613,0.068,-0.340,0.056,45.000,69.150,29.250,34.7
16:01:10.319,1680722,-8.035,1.638,2.634,0.370,-0.587,0.245,45.000,69.150,29.250,34.8
16:01:10.365,1680776,-7.669,1.427,3.397,0.425,-1.108,0.454,42.900,69.000,29.700,34.5
16:01:10.425,1680830,-6.718,2.227,2.849,0.356,-1.669,0.740,42.900,69.000,29.700,34.8
16:01:10.485,1680884,-6.043,3.508,4.738,-0.218,-2.041,0.800,34.200,74.250,31.050,34.8
16:01:10.530,1680938,-5.947,2.677,5.698,-0.192,-2.441,0.789,16.200,77.100,35.250,34.6
16:01:10.590,1680992,-4.506,1.798,6.100,0.536,-2.602,0.820,16.200,77.100,35.250,34.8
16:01:10.635,1681046,-3.701,4.932,8.351,0.476,-2.668,0.897,16.200,77.100,35.250,34.6
16:01:10.695,1681100,-2.021,4.685,6.584,0.355,-2.616,1.048,16.200,77.100,35.250,34.7
16:01:10.755,1681154,0.699,3.275,7.712,0.027,-2.529,1.047,-25.500,80.550,23.550,34.9
16:01:10.800,1681208,0.826,6.347,10.750,-0.156,-2.626,0.994,-25.500,80.550,23.550,34.7
16:01:10.858,1681262,2.162,6.086,8.899,0.696,-2.352,1.050,-40.950,77.700,11.250,34.5
16:01:10.903,1681316,5.004,3.615,6.445,0.600,-2.011,0.995,-40.950,77.700,11.250,34.7
16:01:10.964,1681370,4.946,8.226,10.511,0.569,-2.191,0.934,-51.600,73.950,-8.550,34.6
16:01:11.025,1681424,5.361,4.518,4.393,0.820,-1.749,0.899,-51.600,73.950,-8.550,34.9
16:01:11.069,1681478,5.760,7.942,10.429,0.370,-2.039,0.847,-55.800,66.900,-27.300,34.8
16:01:11.173,1681532,7.582,4.872,3.328,0.897,-1.635,0.784,-55.800,66.900,-27.300,34.7
16:01:11.174,1681586,8.727,5.246,5.344,0.418,-1.568,0.549,-55.800,66.900,-27.300,34.8
16:01:11.293,1681640,8.124,5.844,3.297,0.605,-1.290,0.637,-50.850,52.350,-57.900,34.8
