timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
20:43:41.280,4956040,1.511,1.561,3.852,-0.670,0.047,0.505,-13.800,19.650,35.550,36.8
20:43:41.341,4956094,4.329,2.701,3.479,-0.258,-0.447,0.012,-13.800,19.650,35.550,37.0
20:43:41.385,4956148,5.677,0.943,0.800,0.478,-0.198,-0.301,-13.800,19.650,35.550,36.7
20:43:41.445,4956202,-10.381,3.199,4.618,1.097,0.631,-1.077,-13.800,19.650,35.550,36.7
20:43:41.489,4956256,0.807,13.726,3.503,1.488,1.177,-0.530,-13.800,19.650,35.550,36.7
20:43:41.549,4956310,7.266,9.699,4.173,0.984,-0.895,-0.506,-13.800,19.650,35.550,36.7
20:43:41.610,4956364,0.031,10.805,3.721,0.671,-0.374,-0.691,4.650,16.950,34.650,36.9
20:43:41.654,4956418,1.283,15.490,1.626,0.047,-0.171,-0.200,-1.650,15.300,34.800,36.8
20:43:41.715,4956472,2.318,17.212,1.144,-1.468,0.387,0.481,-1.650,15.300,34.800,36.9
20:43:41.760,4956526,2.303,15.388,4.156,-2.334,0.269,0.548,-8.100,18.750,36.900,36.9
20:43:41.821,4956580,2.265,11.198,4.913,-2.526,-0.232,0.340,-8.100,18.750,36.900,36.9
20:43:41.881,4956634,4.195,9.335,5.511,-2.268,0.180,-0.006,-14.550,25.350,38.550,36.8
20:43:41.925,4956688,2.109,2.301,2.696,-1.418,-0.162,-0.378,-14.550,25.350,38.550,36.6
20:43:41.986,4956742,0.771,-0.500,7.851,-0.922,-0.251,-0.595,-16.500,30.750,41.100,36.5
20:43:42.031,4956796,4.053,-0.797,4.233,-0.051,1.564,-0.679,-16.500,30.750,41.100,36.5
20:43:42.091,4956850,-4.578,-0.192,-6.199,0.733,-1.018,0.230,-3.600,31.500,44.400,37.0
20:43:42.151,4956904,4.444,0.625,9.371,1.480,0.344,0.023,-3.600,31.500,44.400,36.9
20:43:42.196,4956958,-1.532,8.509,0.464,1.925,-0.341,0.031,-2.250,29.550,46.050,36.8
20:43:42.255,4957012,4.887,10.523,6.934,2.169,0.448,-0.120,-2.250,29.550,46.050,36.9
20:43:42.301,4957066,3.457,13.903,5.356,1.974,-0.498,-0.093,-5.250,25.350,43.650,36.8
20:43:42.359,4957120,2.066,15.912,2.289,1.191,0.001,-0.090,-10.800,19.350,38.250,36.8
20:43:42.420,4957174,5.526,16.395,6.055,-0.040,0.205,-0.024,-10.800,19.350,38.250,36.8
20:43:42.464,4957228,-1.609,17.557,0.239,-0.867,-0.377,0.219,-18.750,16.650,39.900,36.6
20:43:42.525,4957282,3.946,17.028,6.072,-1.780,1.032,0.521,-18.750,16.650,39.900,36.9
20:43:42.569,4957336,1.231,13.695,5.128,-2.299,0.618,0.480,-20.550,20.550,43.500,36.8
20:43:42.630,4957390,1.630,8.327,4.508,-2.196,0.325,0.074,-20.550,20.550,43.500,36.9
20:43:42.721,4957444,0.462,1.298,2.593,-1.085,-0.673,0.046,-20.550,20.550,43.500,36.8
20:43:42.781,4957498,1.554,0.584,5.978,-0.697,-0.294,0.333,-20.550,20.550,43.500,36.9
20:43:42.840,4957552,3.598,-2.207,2.667,0.106,1.111,0.314,-20.550,20.550,43.500,36.9
20:43:42.841,4957606,-5.066,-0.754,1.674,0.309,-0.363,0.302,-20.550,20.550,43.500,36.8
20:43:42.901,4957660,4.602,0.309,3.855,0.872,0.291,0.019,-7.500,31.800,53.100,36.7
20:43:42.960,4957714,2.227,3.692,6.158,1.540,-0.394,0.119,-7.500,31.800,53.100,36.6
20:43:43.021,4957768,1.496,6.567,4.848,1.764,0.121,0.233,-3.750,27.750,52.950,36.9
20:43:43.081,4957822,4.243,9.349,4.262,1.604,-0.607,-0.148,-4.950,22.650,48.600,36.9
20:43:43.141,4957876,1.204,10.666,1.896,1.390,-0.515,-0.420,-4.950,22.650,48.600,36.7
20:43:43.200,4957930,4.195,10.499,4.757,1.611,-0.588,-0.626,-8.100,18.750,47.400,36.7
20:43:43.261,4957984,1.664,12.931,-1.190,1.620,-1.036,-0.611,-8.100,18.750,47.400,36.7
20:43:43.321,4958038,3.237,15.579,2.919,1.000,-0.538,-0.539,-10.500,16.500,42.750,36.7
20:43:43.381,4958092,1.458,18.428,1.109,-0.780,-0.070,0.048,-10.500,16.500,42.750,36.6
