timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:21:26.666,1285924,11.748,6.206,2.116,-0.400,0.442,-0.718,-55.950,8.250,-29.400,32.9
15:21:26.727,1285978,9.060,5.315,1.633,-0.121,0.320,-0.594,-55.950,8.250,-29.400,33.0
15:21:26.787,1286032,8.030,4.752,1.602,-0.195,0.037,-0.148,-55.950,8.250,-29.400,32.7
15:21:26.832,1286086,6.594,4.563,2.277,0.136,-0.039,0.296,-55.950,8.250,-29.400,32.9
15:21:26.891,1286140,6.809,3.958,2.387,0.323,-0.161,0.526,-61.950,17.850,-25.650,32.8
15:21:26.936,1286194,6.730,5.071,2.579,0.454,-0.483,0.803,-61.650,16.350,-25.650,32.6
15:21:26.995,1286248,6.984,2.784,3.103,0.110,-0.746,0.956,-61.650,16.350,-25.650,32.6
15:21:27.057,1286302,6.321,3.943,0.953,-0.458,-0.728,1.180,-59.400,11.400,-28.950,32.8
15:21:27.102,1286356,5.808,2.677,0.316,-0.118,-0.443,0.977,-59.400,11.400,-28.950,32.8
15:21:27.160,1286410,5.045,1.544,0.397,-0.197,-0.317,0.792,-59.400,11.400,-28.950,32.9
15:21:27.207,1286464,5.899,1.267,0.879,-0.022,-0.294,0.188,-59.400,11.400,-28.950,32.9
15:21:27.267,1286518,8.049,1.204,0.010,-0.006,-0.166,-0.141,-57.300,3.750,-33.900,32.8
15:21:27.327,1286572,9.596,1.695,0.505,-0.493,0.213,0.041,-57.300,3.750,-33.900,33.0
15:21:27.371,1286626,8.887,1.879,0.342,0.145,0.301,-0.006,-55.650,7.800,-33.000,32.8
15:21:27.430,1286680,10.254,0.563,-0.342,0.163,0.017,0.043,-55.650,7.800,-33.000,32.6
15:21:27.477,1286734,10.649,3.223,-0.737,-0.077,-0.103,0.243,-55.650,7.800,-33.000,32.8
15:21:27.535,1286788,8.480,1.800,0.816,-0.147,-0.223,0.239,-55.650,7.800,-33.000,33.0
15:21:27.597,1286842,9.177,1.077,1.020,-0.078,-0.161,0.008,-56.700,4.800,-31.200,32.9
15:21:27.641,1286896,9.457,1.973,-0.177,0.028,-0.168,-0.057,-56.400,4.350,-33.000,32.8
15:21:27.702,1286950,8.871,0.919,0.259,0.038,-0.116,-0.117,-56.400,4.350,-33.000,33.1
15:21:27.746,1287004,8.382,1.274,-0.225,-0.066,0.030,-0.148,-55.500,6.150,-34.650,33.0
15:21:27.806,1287058,6.515,1.879,-0.486,-0.128,0.017,-0.563,-55.500,6.150,-34.650,32.8
15:21:27.866,1287112,6.397,1.374,1.233,-0.019,0.371,-0.743,-55.500,6.150,-34.650,33.1
15:21:27.910,1287166,7.930,3.484,-0.709,-0.180,0.458,-0.892,-55.500,6.150,-34.650,32.8
15:21:27.972,1287220,5.409,1.798,2.263,-0.008,0.470,-1.078,-58.050,11.850,-32.100,33.0
15:21:28.017,1287274,7.798,2.907,1.547,-0.320,0.340,-0.757,-58.050,11.850,-32.100,32.8
15:21:28.075,1287328,7.882,6.151,1.468,0.150,0.489,-0.721,-60.150,17.550,-31.200,32.8
15:21:28.135,1287382,7.626,2.164,1.238,-0.085,0.234,-0.466,-60.150,17.550,-31.200,33.0
15:21:28.195,1287436,8.576,3.871,2.023,-0.232,0.019,0.022,-60.150,17.550,-31.200,32.9
15:21:28.256,1287490,8.859,5.624,1.135,0.330,0.204,0.216,-58.950,14.850,-30.750,32.8
15:21:28.317,1287544,9.847,5.270,1.741,0.092,-0.091,0.362,-58.950,14.850,-30.750,32.8
15:21:28.377,1287598,10.020,4.568,1.156,0.210,-0.070,0.381,-57.150,12.150,-29.700,33.0
15:21:28.496,1287652,11.744,4.173,0.852,0.031,0.004,0.348,-57.150,12.150,-29.700,32.7
15:21:28.555,1287706,9.105,4.386,1.755,0.215,-0.015,0.273,-54.750,9.150,-31.350,32.8
15:21:28.556,1287760,10.369,2.847,0.505,0.361,0.062,0.280,-54.750,9.150,-31.350,33.0
15:21:28.558,1287814,8.823,3.366,1.176,0.046,-0.233,0.510,-54.750,9.150,-31.350,32.8
15:21:28.615,1287868,10.824,4.037,0.862,0.394,-0.059,0.586,-54.750,9.150,-31.350,32.8
15:21:28.675,1287922,10.920,2.018,0.184,0.327,-0.277,0.533,-51.000,1.500,-31.050,32.8
15:21:28.735,1287976,10.489,2.631,0.642,0.433,-0.183,0.353,-51.000,1.500,-31.050,33.1
15:21:28.796,1288030,9.780,1.630,0.158,0.053,-0.254,0.110,-47.400,-0.900,-30.750,33.0
15:21:28.858,1288084,9.697,2.172,1.080,-0.114,-0.181,0.030,-47.400,-0.900,-30.750,32.7
15:21:28.916,1288138,10.094,1.791,0.110,0.120,-0.055,0.142,-47.400,-0.900,-30.750,32.7
15:21:28.976,1288192,10.362,2.064,0.821,0.161,0.009,-0.014,-46.200,-4.500,-32.100,32.9
15:21:29.037,1288246,10.230,2.619,0.170,0.253,0.053,-0.031,-46.200,-4.500,-32.100,32.8
15:21:29.095,1288300,10.106,1.827,0.170,-0.011,0.003,-0.101,-45.150,-4.800,-29.400,32.6
15:21:29.096,1288354,10.666,2.066,0.182,-0.177,-0.047,-0.119,-45.150,-4.800,-29.400,32.8
15:21:29.155,1288408,12.881,1.748,-0.661,0.090,0.287,-0.381,-46.950,-4.200,-29.550,32.8
15:21:29.276,1288462,12.440,2.298,0.359,0.050,0.523,-0.556,-46.950,-4.200,-29.550,32.8
15:21:29.276,1288516,11.873,2.966,0.917,-0.220,0.478,-0.562,-46.950,-4.200,-29.550,32.9
15:21:29.336,1288570,12.048,2.875,0.397,-0.444,0.327,-0.723,-46.950,-4.200,-29.550,32.8
15:21:29.396,1288624,10.415,4.482,1.539,-0.487,0.209,-0.817,-53.700,3.150,-28.650,32.8
15:21:29.456,1288678,11.657,5.813,1.844,-0.275,0.226,-0.722,-53.700,3.150,-28.650,33.0
15:21:29.516,1288732,9.471,6.155,2.516,-0.179,0.147,-0.644,-59.550,8.850,-28.050,32.8
15:21:29.575,1288786,8.583,5.119,1.901,-0.232,-0.221,-0.432,-60.450,15.150,-26.400,32.8
15:21:29.637,1288840,7.472,5.145,1.480,-0.232,-0.341,-0.142,-60.450,15.150,-26.400,32.8
15:21:29.638,1288894,7.436,4.298,2.258,-0.141,-0.218,0.034,-61.050,19.650,-28.050,33.0
15:21:29.697,1288948,6.419,5.624,1.793,0.209,-0.162,0.294,-61.050,19.650,-28.050,32.8
15:21:29.757,1289002,6.701,4.336,1.810,0.222,-0.330,0.357,-62.100,21.900,-27.750,33.0
15:21:29.816,1289056,6.591,4.345,1.963,0.119,-0.645,0.478,-62.100,21.900,-27.750,32.6
15:21:29.877,1289110,6.902,3.297,1.001,-0.163,-0.811,0.447,-61.350,18.900,-30.600,32.8
15:21:29.935,1289164,6.938,4.041,-0.294,-0.352,-0.681,0.555,-61.350,18.900,-30.600,32.8
15:21:29.997,1289218,6.498,2.195,0.311,0.302,-0.253,0.487,-61.350,18.900,-30.600,32.9
15:21:30.056,1289272,7.094,3.148,0.012,0.186,-0.306,0.299,-61.350,18.900,-30.600,32.9
