timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
19:35:40.600,875274,3.589,8.923,0.675,-0.041,-0.454,-0.258,-42.300,23.400,24.000,34.1
19:35:40.660,875328,1.137,9.876,0.002,0.134,-0.292,-0.407,-42.300,23.400,24.000,34.1
19:35:40.712,875382,-2.418,10.772,-0.182,-0.099,-0.657,-0.043,-45.000,22.350,23.400,34.3
19:35:40.765,875436,2.128,10.585,0.441,-0.152,-0.507,0.039,-45.000,22.350,23.400,34.4
19:35:40.819,875490,2.562,9.792,1.566,-0.145,-0.329,-0.027,-50.100,20.550,21.150,33.9
19:35:40.872,875544,3.536,10.276,1.080,0.002,0.145,-0.007,-50.100,20.550,21.150,34.5
19:35:40.931,875598,0.189,9.141,-0.682,-0.203,0.062,0.093,-46.200,18.300,19.650,34.2
19:35:40.983,875652,2.004,9.515,0.283,-0.396,-0.741,0.024,-46.200,18.300,19.650,34.1
19:35:41.035,875706,2.148,8.684,0.445,-0.271,-0.730,0.033,-46.200,18.300,19.650,34.1
19:35:41.089,875760,0.072,7.616,0.390,-0.052,-0.256,0.181,-50.250,15.600,10.350,34.3
19:35:41.141,875814,0.950,9.838,1.609,0.092,-0.171,0.243,-50.250,15.600,10.350,34.3
19:35:41.201,875868,1.185,9.756,0.400,0.129,-0.492,0.138,-47.550,14.250,8.550,34.4
19:35:41.252,875922,1.300,9.728,0.096,-0.070,-0.734,0.035,-47.550,14.250,8.550,33.9
19:35:41.306,875976,3.168,10.487,0.426,-0.087,-0.037,0.093,-46.350,12.750,6.750,33.9
19:35:41.359,876030,2.758,10.427,0.871,0.062,0.659,0.080,-46.350,12.750,6.750,34.1
19:35:41.411,876084,2.969,10.228,0.687,-0.096,0.293,-0.083,-48.150,10.350,5.850,34.2
19:35:41.471,876138,0.771,9.218,-0.553,-0.226,0.340,-0.079,-48.150,10.350,5.850,34.2
19:35:41.524,876192,2.174,9.328,-0.350,-0.219,0.240,-0.006,-48.150,10.350,5.850,34.2
19:35:41.575,876246,1.097,9.103,0.242,-0.167,0.379,-0.074,-48.150,10.350,5.850,34.3
19:35:41.627,876300,1.944,9.321,0.290,-0.109,0.197,-0.124,-48.150,10.350,5.850,34.5
19:35:41.680,876354,1.961,8.097,0.072,-0.061,-0.002,-0.507,-48.150,10.350,5.850,34.2
19:35:41.740,876408,1.990,9.675,1.037,0.140,0.078,-0.655,-48.300,16.050,9.300,33.9
19:35:41.793,876462,1.049,9.799,0.409,0.201,0.272,-0.463,-49.500,17.850,5.550,33.9
19:35:41.847,876516,1.707,10.077,-0.062,-0.082,-0.048,-0.163,-49.500,17.850,5.550,34.1
19:35:41.899,876570,1.597,10.623,0.876,-0.043,0.020,-0.018,-53.850,19.950,5.550,34.3
19:35:41.951,876624,1.889,10.724,1.056,0.012,0.196,-0.034,-53.850,19.950,5.550,34.1
19:35:42.046,876678,1.259,10.228,0.560,-0.076,0.019,-0.116,-52.200,19.950,7.050,34.2
19:35:42.100,876732,1.851,8.923,0.024,-0.168,0.205,-0.068,-52.200,19.950,7.050,34.4
19:35:42.151,876786,0.766,9.373,0.804,-0.113,-0.082,-0.150,-52.200,19.950,7.050,34.1
19:35:42.205,876840,1.257,9.505,0.656,-0.056,0.160,-0.071,-52.200,19.950,7.050,34.0
19:35:42.256,876894,0.915,10.195,0.244,-0.177,-0.350,-0.013,-47.250,24.300,8.850,34.1
19:35:42.309,876948,0.223,9.701,1.221,-0.134,-0.080,0.244,-47.250,24.300,8.850,34.2
19:35:42.362,877002,1.120,9.060,0.986,0.112,0.406,0.396,-46.950,25.950,8.700,34.3
19:35:42.415,877056,1.274,8.392,0.797,0.138,0.118,0.431,-45.300,23.550,9.600,34.4
19:35:42.468,877110,1.539,9.201,0.053,0.062,-0.204,0.303,-45.300,23.550,9.600,33.9
19:35:42.520,877164,2.430,8.787,1.010,0.083,-0.031,0.168,-44.250,23.700,10.950,34.1
19:35:42.573,877218,1.781,9.153,1.472,0.158,0.160,-0.112,-44.250,23.700,10.950,34.3
19:35:42.625,877272,3.306,9.653,0.426,0.172,0.220,-0.163,-44.250,23.400,14.550,34.0
19:35:42.677,877326,1.865,9.972,-0.172,-0.069,0.020,-0.135,-44.250,23.400,14.550,33.9
