timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
14:43:48.754,238985,0.567,9.591,0.989,0.006,-0.173,0.050,-7.350,53.400,-1.800,34.6
14:43:48.816,239040,0.215,9.665,0.883,0.005,0.025,0.143,-8.250,53.100,-3.450,34.7
14:43:48.868,239095,0.433,9.483,1.125,0.045,-0.063,0.254,-8.250,53.100,-3.450,34.5
14:43:48.921,239150,-0.002,9.835,0.694,-0.025,-0.199,0.256,-9.900,54.300,-1.950,34.6
14:43:48.979,239205,0.771,9.728,0.627,-0.043,0.029,0.149,-9.900,54.300,-1.950,34.6
14:43:49.031,239260,1.087,9.658,1.001,-0.114,-0.162,-0.009,-8.550,51.900,-3.150,34.7
14:43:49.084,239315,0.321,10.099,0.577,-0.119,-0.009,-0.010,-8.550,51.900,-3.150,34.7
14:43:49.144,239370,1.219,9.708,1.147,-0.072,-0.112,-0.032,-8.550,51.900,-3.150,34.6
14:43:49.196,239425,0.120,9.787,0.613,-0.066,-0.071,-0.020,-8.550,51.900,-3.150,34.9
14:43:49.249,239480,1.238,9.649,0.567,-0.148,-0.018,-0.066,-9.600,52.650,-2.100,34.6
14:43:49.309,239535,0.294,9.596,0.977,-0.207,0.040,-0.080,-9.600,52.650,-2.100,34.7
14:43:49.362,239590,0.414,9.199,0.814,-0.070,0.104,-0.019,-9.600,55.500,-1.800,34.8
14:43:49.415,239645,0.333,9.543,0.757,-0.076,0.142,0.051,-6.900,54.750,-1.050,34.7
14:43:49.474,239700,0.505,9.680,1.180,0.003,-0.054,-0.009,-6.900,54.750,-1.050,34.6
14:43:49.527,239755,0.498,10.044,1.027,0.005,0.052,0.029,-10.050,54.750,-2.550,34.9
14:43:49.581,239810,0.754,9.840,0.965,-0.034,0.022,0.005,-10.050,54.750,-2.550,34.8
14:43:49.639,239865,0.182,9.033,0.871,-0.009,0.128,-0.051,-8.550,54.750,-0.300,34.6
14:43:49.693,239920,1.975,9.031,0.697,0.034,0.015,-0.061,-8.550,54.750,-0.300,34.7
14:43:49.752,239975,0.022,9.105,0.977,-0.041,0.167,-0.058,-8.550,54.750,-0.300,34.8
14:43:49.806,240030,0.591,9.280,0.608,-0.053,0.228,-0.177,-8.550,54.750,-0.300,34.4
14:43:49.858,240085,0.816,9.349,1.604,-0.028,-0.011,-0.261,-3.600,53.100,-0.450,34.6
