timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
15:00:30.594,17019,3.601,8.502,2.710,-0.224,0.028,-0.210,-28.950,47.700,59.700,36.8
15:00:30.655,17074,3.448,9.017,2.114,-0.146,-0.222,-0.287,-19.500,53.100,57.450,36.7
15:00:30.708,17129,2.473,9.076,2.971,-0.160,-0.173,-0.160,-19.500,53.100,57.450,37.0
15:00:30.760,17184,3.182,9.682,2.875,-0.177,-0.323,-0.151,-18.450,52.050,58.650,36.9
15:00:30.820,17239,2.579,9.333,2.895,-0.119,-0.053,-0.060,-18.450,52.050,58.650,36.7
15:00:30.872,17294,2.648,9.081,2.377,-0.161,-0.076,0.081,-21.000,51.900,60.600,36.7
15:00:30.925,17349,2.691,8.564,2.428,-0.209,-0.180,0.064,-21.150,52.050,61.500,36.8
15:00:30.986,17404,2.938,8.322,3.402,-0.082,-0.017,0.054,-21.150,52.050,61.500,37.0
15:00:31.043,17459,2.890,8.349,2.792,0.013,-0.003,0.026,-20.400,51.300,62.250,36.8
15:00:31.089,17514,2.964,8.473,3.194,0.044,0.027,-0.061,-20.400,51.300,62.250,36.9
15:00:31.149,17569,2.591,8.729,2.959,-0.005,-0.054,-0.008,-21.000,51.150,59.550,37.0
15:00:31.202,17624,2.861,8.945,2.916,-0.041,-0.021,0.024,-21.000,51.150,59.550,36.7
15:00:31.261,17679,2.974,8.772,2.607,0.063,-0.014,-0.010,-23.100,50.700,63.300,36.9
15:00:31.315,17734,2.665,9.280,2.614,0.081,-0.155,-0.116,-23.100,50.700,63.300,36.9
15:00:31.375,17789,2.851,9.246,2.605,0.140,-0.081,-0.164,-21.000,50.100,62.400,37.0
15:00:31.421,17844,2.514,8.973,2.413,0.116,-0.186,-0.131,-19.200,52.500,58.950,36.9
15:00:31.480,17899,2.540,8.483,1.946,0.104,-0.253,-0.093,-19.200,52.500,58.950,36.7
15:00:31.531,17954,2.425,8.614,2.260,0.120,-0.218,-0.121,-20.700,54.300,58.950,36.9
15:00:31.584,18009,2.033,8.569,1.810,0.157,-0.317,-0.209,-20.700,54.300,58.950,37.1
15:00:31.644,18064,2.116,8.897,1.954,0.145,-0.216,-0.166,-21.300,53.700,58.800,36.7
15:00:31.698,18119,2.239,9.550,2.054,0.135,-0.291,-0.148,-21.300,53.700,58.800,36.9
15:00:31.749,18174,2.954,9.637,2.037,0.108,-0.100,-0.042,-21.300,53.700,58.800,36.9
15:00:31.809,18229,2.061,9.534,1.595,0.008,-0.091,-0.010,-21.300,53.700,58.800,36.7
15:00:31.863,18284,2.286,8.698,1.492,-0.124,-0.271,0.052,-21.300,53.700,58.800,37.0
15:00:31.916,18339,2.428,8.844,1.494,-0.093,-0.130,0.071,-21.300,53.700,58.800,36.8
15:00:31.976,18394,2.622,9.134,1.113,-0.098,-0.259,-0.024,-21.300,53.700,58.800,36.7
15:00:32.027,18449,2.617,9.225,2.296,-0.059,-0.041,-0.019,-20.550,58.350,56.550,36.9
15:00:32.078,18504,2.133,8.894,1.369,-0.139,-0.173,0.115,-20.550,58.350,56.550,37.0
15:00:32.183,18559,3.263,9.000,2.461,-0.084,-0.312,0.112,-21.300,59.550,57.000,37.0
15:00:32.287,18614,2.337,9.136,1.496,-0.051,0.080,0.159,-21.300,59.550,57.000,36.5
15:00:32.289,18669,2.521,9.512,2.064,-0.166,-0.081,0.135,-21.450,59.250,57.150,36.6
15:00:32.341,18724,2.351,9.720,1.829,-0.117,0.015,0.180,-21.450,59.250,57.150,37.0
15:00:32.395,18779,2.667,9.541,1.779,-0.075,-0.002,0.102,-24.450,58.350,56.250,36.8
15:00:32.447,18834,2.528,9.155,1.609,-0.027,0.168,0.025,-24.450,58.350,56.250,36.8
15:00:32.500,18889,2.655,8.789,1.563,-0.001,0.015,-0.076,-21.150,58.650,56.850,36.8
15:00:32.550,18944,3.031,9.955,1.918,0.008,0.173,-0.054,-23.850,58.200,58.200,37.0
15:00:32.605,18999,2.447,9.222,1.997,0.079,0.415,-0.003,-23.850,58.200,58.200,36.7
15:00:32.657,19054,2.169,9.311,1.851,0.054,0.209,-0.039,-20.550,58.350,57.750,36.7
15:00:32.709,19109,2.179,8.954,1.932,-0.060,0.064,-0.080,-20.550,58.350,57.750,36.8
15:00:32.760,19164,2.950,8.655,1.834,-0.029,-0.012,-0.128,-19.800,58.050,59.550,36.9
15:00:32.813,19219,2.459,8.945,2.164,0.026,0.092,-0.075,-19.800,58.050,59.550,37.1
15:00:32.867,19274,2.128,8.971,2.011,-0.007,0.024,-0.102,-18.450,57.900,58.650,37.0
15:00:32.919,19329,2.265,9.246,1.908,0.005,0.052,-0.023,-18.450,57.900,58.650,37.1
15:00:32.972,19384,2.749,9.167,1.958,-0.110,-0.120,-0.133,-15.900,57.750,58.800,37.0
15:00:33.024,19439,2.667,9.313,2.002,-0.104,-0.131,-0.114,-15.900,57.750,58.800,36.7
15:00:33.077,19494,2.217,10.515,0.105,-0.024,-0.088,-0.169,-13.950,59.550,60.300,36.9
15:00:33.128,19549,2.842,9.641,1.702,-0.222,-0.404,-0.080,-13.950,59.550,60.300,36.9
15:00:33.232,19604,2.595,9.052,2.042,-0.206,-0.278,-0.047,-13.950,59.550,60.300,37.0
15:00:33.234,19659,2.942,8.744,1.681,-0.117,-0.153,-0.032,-13.950,59.550,60.300,36.8
15:00:33.389,19714,2.351,8.887,2.133,-0.063,-0.086,-0.023,-13.950,59.550,60.300,36.7
15:00:33.391,19769,2.181,9.038,1.714,-0.041,-0.097,-0.055,-13.950,59.550,60.300,36.8
15:00:33.443,19824,2.466,9.507,1.753,-0.059,-0.100,-0.047,-13.950,59.550,60.300,36.8
15:00:33.497,19879,2.116,8.851,1.616,-0.141,-0.157,-0.037,-18.150,57.300,61.650,37.0
15:00:33.601,19934,3.048,9.196,1.666,-0.026,0.068,0.018,-18.150,57.300,61.650,36.8
15:00:33.603,19989,1.666,11.394,3.084,0.118,0.485,0.138,-17.400,56.550,59.100,36.8
15:00:33.654,20044,3.208,12.220,2.981,-0.238,0.233,0.394,-18.450,56.700,60.750,36.8
15:00:33.758,20099,2.387,11.830,3.292,-0.494,0.343,0.896,-18.450,56.700,60.750,36.9
15:00:33.759,20154,3.577,10.894,3.328,-0.573,-0.174,1.030,-19.500,51.750,63.300,37.0
15:00:33.811,20209,3.996,10.008,2.847,-0.590,-0.179,1.189,-19.500,51.750,63.300,36.5
15:00:33.864,20264,4.458,9.673,3.508,-0.503,-0.509,1.026,-26.250,43.350,67.350,36.9
15:00:33.968,20319,4.987,9.108,2.483,-0.418,-0.400,1.006,-26.250,43.350,67.350,36.8
15:00:33.970,20374,6.366,8.291,3.929,-0.363,0.095,0.995,-35.400,38.250,69.000,37.0
15:00:34.075,20429,5.610,7.532,3.378,-0.501,-0.001,0.739,-35.400,38.250,69.000,37.1
15:00:34.075,20484,6.464,6.548,3.247,-0.356,0.177,0.513,-45.300,33.300,71.100,36.8
15:00:34.125,20539,5.684,7.154,3.450,-0.243,0.096,0.253,-45.300,33.300,71.100,36.9
15:00:34.177,20594,6.026,6.278,4.970,0.139,0.054,-0.021,-44.400,29.700,73.950,36.8
15:00:34.230,20649,6.644,6.026,3.654,0.291,-0.001,-0.363,-33.450,30.600,73.800,36.9
15:00:34.284,20704,5.420,6.060,3.673,0.390,-0.082,-0.666,-33.450,30.600,73.800,37.0
15:00:34.336,20759,4.286,6.325,2.684,0.492,0.012,-0.796,-22.650,36.600,64.500,37.0
15:00:34.388,20814,5.171,6.021,2.741,0.561,0.025,-0.811,-22.650,36.600,64.500,36.9
15:00:34.545,20869,4.939,6.225,2.739,0.506,-0.263,-0.865,-18.450,43.350,56.850,36.9
15:00:34.546,20924,4.944,6.057,2.488,0.385,-0.148,-0.689,-18.450,43.350,56.850,37.0
15:00:34.598,20979,2.825,4.815,2.136,0.394,-0.165,-0.506,-15.450,47.550,52.650,36.8
15:00:34.652,21034,2.385,3.419,0.788,0.023,-0.544,-0.263,-15.450,47.550,52.650,36.8
15:00:34.704,21089,2.579,4.867,-2.413,0.018,0.317,0.713,-10.500,46.800,50.400,36.7
15:00:34.755,21144,4.640,4.836,0.342,-0.321,0.297,0.979,-10.500,46.800,50.400,37.0
15:00:34.809,21199,0.690,7.235,1.822,-0.681,-1.044,0.688,-10.500,46.800,50.400,37.0
15:00:34.862,21254,5.368,4.717,3.124,-0.319,0.664,0.656,-10.500,46.800,50.400,36.9
15:00:34.914,21309,8.827,7.532,2.818,-0.465,-0.220,0.111,-10.500,46.800,50.400,37.0
15:00:34.965,21365,5.116,7.477,3.991,0.018,-0.150,-0.191,-10.500,46.800,50.400,36.6
15:00:35.018,21419,4.269,8.092,2.464,0.246,-0.002,0.011,-10.500,46.800,50.400,36.8
15:00:35.072,21474,6.725,7.551,4.077,0.208,0.296,-0.037,-29.100,40.050,59.550,36.9
15:00:35.123,21529,7.616,10.197,2.545,0.113,0.044,-0.228,-29.100,40.050,59.550,36.9
15:00:35.176,21584,6.642,9.115,2.342,-0.254,0.134,-0.239,-30.450,43.350,60.000,36.9
15:00:35.228,21639,6.972,7.743,2.722,-0.007,0.197,-0.366,-30.450,43.350,60.000,36.9
15:00:35.281,21694,4.681,7.989,2.662,0.002,-0.024,-0.312,-30.900,42.300,61.500,36.8
