timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
20:06:54.803,2749518,15.155,-3.280,-1.889,0.011,4.631,-0.022,-48.000,21.000,34.800,37.1
20:06:54.856,2749572,4.453,1.970,-2.437,1.034,2.722,0.190,-45.900,20.850,36.450,37.1
20:06:54.908,2749626,12.091,2.227,12.543,0.525,1.381,-0.142,-45.900,20.850,36.450,37.1
20:06:54.969,2749680,11.870,-0.034,3.292,0.461,1.732,-0.275,-45.900,20.850,36.450,36.9
20:06:55.021,2749734,2.320,2.016,7.963,0.115,0.941,-0.402,-45.900,20.850,36.450,37.1
20:06:55.073,2749788,7.896,2.983,9.127,0.067,1.889,-0.421,-45.900,20.850,36.450,36.9
20:06:55.126,2749842,7.245,1.211,4.657,0.352,2.263,-0.435,-45.900,20.850,36.450,36.9
20:06:55.179,2749896,2.751,1.250,9.206,-0.001,1.050,-0.337,-45.900,20.850,36.450,37.0
20:06:55.240,2749950,3.735,2.365,7.748,0.241,1.076,-0.061,-45.900,20.850,36.450,37.0
20:06:55.291,2750004,5.131,2.739,10.482,0.163,0.702,0.180,-45.900,20.850,36.450,37.1
20:06:55.351,2750058,4.616,2.638,9.397,0.021,0.070,0.757,-34.950,27.000,54.750,37.1
20:06:55.397,2750112,5.473,2.198,10.858,-0.299,-0.042,1.071,-34.950,27.000,54.750,37.1
20:06:55.450,2750166,4.915,1.875,9.582,-0.509,-0.411,1.416,-35.400,26.700,54.000,36.9
20:06:55.510,2750220,4.887,1.185,9.682,-0.567,-0.417,1.798,-37.650,21.150,54.450,36.7
20:06:55.562,2750274,7.123,0.194,10.321,-0.669,-0.175,2.398,-37.650,21.150,54.450,36.9
20:06:55.614,2750328,5.600,-0.558,9.500,-0.736,-0.223,3.021,-42.600,16.350,56.100,36.9
20:06:55.666,2750382,6.474,-0.883,9.431,-0.938,-0.533,3.293,-42.600,16.350,56.100,37.1
20:06:55.720,2750436,5.610,-1.532,8.499,-0.948,-1.221,3.370,-43.650,5.550,56.100,36.9
20:06:55.780,2750490,5.674,-4.700,8.993,-0.871,-2.930,3.120,-43.650,5.550,56.100,37.0
20:06:55.831,2750544,7.949,-4.427,9.392,-0.756,-3.516,2.817,-47.250,-6.300,50.250,37.0
20:06:55.884,2750598,6.472,-4.815,6.076,-0.848,-4.476,2.422,-47.250,-6.300,50.250,37.1
20:06:55.936,2750652,8.006,-5.425,7.819,-0.863,-3.260,2.374,-50.700,-16.350,37.800,36.9
20:06:55.989,2750706,5.262,-7.140,7.034,-0.895,-2.520,2.126,-50.700,-16.350,37.800,37.0
20:06:56.050,2750760,2.535,-7.317,2.452,-0.900,-3.499,1.739,-48.000,-24.300,26.400,36.9
20:06:56.109,2750814,4.269,-9.428,3.419,-0.751,-3.050,1.594,-48.000,-24.300,26.400,36.9
20:06:56.155,2750868,4.712,-11.088,-1.482,-0.513,-4.588,1.337,-40.050,-28.050,16.050,37.2
20:06:56.207,2750922,5.250,-7.458,1.233,-0.324,-3.096,1.937,-30.150,-30.450,5.550,36.7
20:06:56.346,2750976,4.281,-8.863,1.130,-0.625,-2.785,1.999,-30.150,-30.450,5.550,37.1
20:06:56.348,2751030,1.882,-7.673,1.408,-1.137,-2.777,2.143,-13.200,-30.600,1.350,37.0
20:06:56.400,2751084,-3.785,-8.526,-0.364,-1.355,-1.589,2.303,-13.200,-30.600,1.350,36.9
20:06:56.453,2751138,-0.579,-7.573,-0.953,-1.696,-3.542,1.859,2.100,-22.800,-1.200,36.9
20:06:56.506,2751192,-5.112,-5.677,-0.335,-1.477,-1.881,1.582,2.100,-22.800,-1.200,37.0
20:06:56.559,2751246,-7.309,-5.990,-3.982,-1.580,-3.309,1.273,13.200,-12.600,2.550,37.1
20:06:56.611,2751300,-6.833,-4.401,0.508,-1.534,-2.156,1.287,13.200,-12.600,2.550,37.1
20:06:56.664,2751354,-7.776,-4.956,-2.138,-1.360,-2.123,1.224,13.200,-12.600,2.550,37.0
20:06:56.716,2751408,-4.592,-1.729,0.905,-1.216,-1.516,1.662,13.200,-12.600,2.550,37.0
20:06:56.769,2751462,-11.088,-2.957,-1.662,-1.318,-2.274,1.228,13.200,-12.600,2.550,37.2
20:06:56.819,2751516,-7.412,-2.931,-1.662,-1.006,-1.247,1.059,13.200,-12.600,2.550,36.7
20:06:56.873,2751570,-10.848,-2.195,0.113,-1.082,-0.899,0.901,13.200,-12.600,2.550,36.8
20:06:56.925,2751624,-10.199,-2.708,-1.448,-1.105,-0.396,1.020,13.200,-12.600,2.550,37.0
20:06:56.977,2751678,-9.823,-2.471,0.160,-1.039,-1.214,1.027,13.200,-12.600,2.550,37.0
20:06:57.029,2751732,-9.177,-0.378,2.078,-0.590,-1.501,1.111,24.000,20.850,37.950,37.1
20:06:57.082,2751786,-11.590,0.472,1.451,-0.615,0.440,1.646,24.000,20.850,37.950,37.2
20:06:57.134,2751840,-5.794,0.350,0.783,-0.649,-0.134,1.550,20.100,23.700,37.950,37.2
20:06:57.187,2751894,-13.077,1.597,-0.294,-0.651,0.846,1.779,20.100,23.700,37.950,37.1
20:06:57.239,2751948,-12.237,3.481,-1.441,-0.580,0.793,1.636,16.650,30.900,37.650,37.3
20:06:57.292,2752002,-10.233,3.601,-0.826,-0.257,0.462,1.386,16.650,30.900,37.650,36.8
20:06:57.345,2752056,-7.714,3.768,-1.925,0.150,0.373,1.508,13.200,35.250,37.950,37.1
20:06:57.397,2752110,-8.420,4.724,-0.776,0.301,0.277,1.256,13.200,35.250,37.950,37.0
20:06:57.449,2752164,-4.911,4.403,-0.893,0.000,-0.137,1.542,9.000,40.500,35.550,37.0
20:06:57.502,2752218,-10.195,6.002,-0.304,-0.163,0.209,1.282,9.000,40.500,35.550,36.9
20:06:57.554,2752272,-12.383,5.880,-3.012,-0.334,-0.044,0.289,5.700,44.700,34.350,37.0
20:06:57.660,2752326,-9.215,6.517,-0.065,-0.119,0.845,-0.364,6.000,44.100,34.050,36.9
20:06:57.662,2752380,-11.799,5.356,0.273,-0.569,-0.666,-0.713,6.000,44.100,34.050,37.0
20:06:57.766,2752434,-9.402,4.001,-0.632,-0.102,0.532,-0.604,7.350,45.000,36.450,36.7
20:06:57.817,2752488,-6.910,3.737,0.702,-0.412,-0.954,-0.281,7.350,45.000,36.450,37.1
20:06:57.870,2752542,-8.543,4.065,-1.733,0.095,1.147,-0.151,9.450,43.800,37.800,37.2
20:06:57.922,2752596,-10.206,3.649,0.101,0.045,1.845,0.240,9.450,43.800,37.800,37.1
20:06:57.975,2752650,-8.921,4.164,-2.667,0.040,0.382,0.574,8.250,44.850,31.500,37.0
20:06:58.027,2752704,-8.827,4.975,-1.501,0.110,0.693,0.164,8.250,44.850,31.500,37.0
20:06:58.080,2752758,-8.880,5.100,-0.527,-0.312,0.485,-0.009,7.650,43.200,29.250,37.0
20:06:58.132,2752812,-10.163,6.335,-2.734,-0.482,0.652,0.236,7.650,43.200,29.250,37.1
20:06:58.185,2752866,-7.582,5.009,-3.371,-0.497,0.796,0.543,6.750,43.050,28.200,36.9
20:06:58.238,2752920,-7.865,5.179,-3.658,-0.783,0.431,0.812,5.700,46.500,28.500,36.9
20:06:58.289,2752974,-6.483,4.724,-5.547,-0.039,0.290,0.538,5.700,46.500,28.500,37.0
20:06:58.342,2753028,-6.986,6.268,-2.938,0.019,0.189,0.596,2.700,48.000,25.950,36.9
20:06:58.395,2753082,-4.324,6.701,-4.456,-0.046,0.064,0.420,2.700,48.000,25.950,37.2
20:06:58.449,2753136,-5.930,6.950,-3.826,-0.197,0.439,0.369,2.700,48.000,25.950,37.0
20:06:58.499,2753190,-4.523,7.578,-4.949,-0.608,0.348,0.215,2.700,48.000,25.950,37.1
20:06:58.552,2753244,-6.321,6.998,-3.570,-0.608,0.824,0.032,2.700,48.000,25.950,37.0
