timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
17:28:35.871,2004768,-1.954,9.366,-1.377,-0.029,-0.018,0.014,-16.800,38.700,25.350,37.6
17:28:35.924,2004822,-1.817,9.402,-1.154,-0.049,0.041,0.027,-16.800,38.700,25.350,37.6
17:28:35.986,2004876,-1.781,9.471,-1.204,-0.027,0.043,0.034,-15.750,37.650,23.100,37.3
17:28:36.038,2004930,-1.939,9.287,-1.228,-0.039,0.047,0.017,-15.750,37.650,23.100,37.6
17:28:36.091,2004984,-1.925,9.519,-1.386,-0.045,0.002,0.017,-15.750,37.650,24.900,37.7
17:28:36.141,2005038,-1.776,9.349,-1.252,-0.051,0.004,0.014,-15.750,37.650,24.900,37.6
17:28:36.194,2005092,-1.712,9.400,-1.245,-0.039,-0.009,0.018,-15.450,37.500,24.450,37.7
17:28:36.256,2005146,-1.695,9.378,-1.322,-0.028,-0.015,0.001,-16.050,37.950,23.550,37.7
17:28:36.308,2005200,-1.437,9.369,-1.379,-0.043,-0.003,0.016,-16.050,37.950,23.550,37.5
17:28:36.359,2005254,-1.678,9.342,-1.171,-0.048,-0.002,0.003,-15.900,37.800,25.200,37.7
17:28:36.412,2005308,-1.786,9.515,-1.269,-0.058,-0.005,0.003,-15.900,37.800,25.200,37.5
17:28:36.466,2005362,-1.812,9.486,-1.389,-0.062,0.026,0.006,-15.750,36.900,24.600,37.5
17:28:36.526,2005416,-1.887,9.366,-1.245,-0.049,-0.008,-0.000,-15.750,36.900,24.600,37.6
17:28:36.578,2005470,-1.786,9.491,-1.178,-0.022,-0.042,-0.020,-14.100,37.650,23.100,37.7
17:28:36.631,2005524,-1.365,9.886,-1.841,0.057,-0.089,-0.026,-14.100,37.650,23.100,37.8
17:28:36.683,2005578,-1.369,9.421,-2.859,0.251,-0.108,-0.070,-15.750,36.900,22.050,37.6
17:28:36.736,2005632,-1.571,9.910,-3.881,0.470,0.153,-0.165,-15.750,36.900,22.050,37.6
17:28:36.796,2005686,-1.396,10.013,-4.700,0.807,0.141,-0.184,-16.800,38.400,21.300,37.6
17:28:36.848,2005740,-1.863,10.060,-5.442,1.132,0.156,-0.173,-16.800,38.400,21.300,37.3
17:28:36.899,2005794,-1.429,10.142,-5.942,1.404,0.313,-0.191,-15.450,36.750,20.400,37.5
17:28:36.951,2005848,-1.867,10.166,-6.201,1.725,0.358,-0.211,-15.300,35.550,18.000,37.7
17:28:37.004,2005902,-2.490,10.070,-7.240,1.846,0.466,-0.133,-15.300,35.550,18.000,37.6
17:28:37.064,2005956,-2.792,9.562,-7.257,1.951,0.566,-0.107,-14.700,34.650,14.250,37.8
17:28:37.118,2006010,-2.631,9.043,-7.542,2.019,0.710,-0.042,-14.700,34.650,14.250,37.6
17:28:37.171,2006064,-2.904,8.349,-7.812,2.092,0.721,-0.034,-15.300,31.200,8.850,37.6
17:28:37.223,2006118,-2.528,6.943,-7.989,2.126,0.661,-0.042,-15.300,31.200,8.850,37.7
17:28:37.274,2006172,-1.595,5.569,-7.937,2.031,0.661,0.062,-16.650,29.850,4.350,37.7
17:28:37.347,2006226,-1.365,4.374,-7.867,1.962,0.669,0.185,-16.650,29.850,4.350,37.6
17:28:37.400,2006280,-1.362,3.292,-8.013,1.811,0.633,0.255,-16.650,29.850,4.350,37.7
17:28:37.453,2006334,-0.414,2.315,-8.210,1.642,0.318,0.301,-16.650,29.850,4.350,37.6
17:28:37.506,2006388,-0.089,0.785,-8.291,1.278,-0.002,0.303,-16.650,29.850,4.350,37.3
17:28:37.559,2006442,-0.081,0.278,-8.440,1.073,0.197,0.255,-16.650,29.850,4.350,37.6
17:28:37.612,2006496,0.287,-0.065,-8.183,0.919,0.208,0.238,-16.650,29.850,4.350,37.6
17:28:37.663,2006550,0.294,-0.560,-8.408,0.798,0.086,0.173,-16.650,29.850,4.350,37.6
17:28:37.715,2006604,0.618,-1.338,-8.080,0.631,0.168,0.216,-16.650,29.850,4.350,37.6
17:28:37.769,2006658,0.666,-1.659,-8.550,0.462,0.127,0.187,-16.650,29.850,4.350,37.5
17:28:37.822,2006712,0.898,-2.124,-8.471,0.274,0.322,0.204,-16.650,29.850,4.350,37.3
17:28:37.875,2006766,0.613,-2.219,-8.672,0.134,0.307,0.187,-30.300,7.200,-11.700,37.7
17:28:37.925,2006820,0.666,-2.310,-8.574,0.207,0.200,0.155,-30.300,7.200,-11.700,37.5
17:28:37.979,2006874,1.022,-2.646,-8.334,0.134,0.142,0.091,-31.500,3.900,-7.950,37.4
17:28:38.032,2006928,0.860,-2.741,-8.581,0.022,0.201,0.137,-31.500,3.900,-7.950,37.9
17:28:38.085,2006982,1.070,-2.634,-9.268,-0.076,0.048,0.172,-33.450,4.200,-9.000,37.9
17:28:38.187,2007036,1.176,-2.756,-9.416,-0.162,0.090,0.077,-33.450,4.200,-9.000,37.6
17:28:38.240,2007090,1.456,-2.753,-9.476,-0.081,0.015,-0.013,-33.450,4.200,-9.750,37.6
17:28:38.293,2007144,1.240,-2.756,-8.861,-0.060,-0.039,-0.030,-33.000,2.850,-9.750,37.3
17:28:38.345,2007198,1.221,-2.878,-8.667,-0.137,-0.122,0.002,-33.000,2.850,-9.750,37.4
17:28:38.397,2007252,0.627,-2.567,-7.372,-0.254,-0.204,0.004,-35.550,4.050,-8.850,37.6
17:28:38.450,2007306,0.769,-2.310,-6.687,-0.478,-0.385,0.002,-35.550,4.050,-8.850,37.9
17:28:38.502,2007360,0.450,-1.932,-7.259,-0.768,-0.497,-0.052,-31.950,4.500,-8.850,37.6
17:28:38.555,2007414,0.215,-1.125,-7.405,-1.049,-0.670,-0.107,-31.950,4.500,-8.850,37.6
17:28:38.608,2007468,0.089,-0.663,-7.894,-1.212,-0.688,-0.070,-30.150,9.150,-9.600,37.5
