timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
17:17:44.174,9073200,10.846,-2.131,-0.385,-0.025,0.544,-0.596,-51.900,9.750,-17.250,33.8
17:17:44.234,9073254,9.550,-4.142,-1.559,0.199,0.529,-0.744,-51.900,9.750,-17.250,33.8
17:17:44.279,9073308,8.294,-4.120,-1.654,-0.796,0.448,-0.481,-51.750,12.300,-14.850,33.7
17:17:44.340,9073362,8.016,-1.817,0.560,-0.094,0.014,0.137,-51.750,12.300,-14.850,33.4
17:17:44.385,9073416,8.262,-1.513,0.797,-0.294,-0.395,0.546,-51.900,12.900,-13.650,33.6
17:17:44.446,9073470,9.704,-1.604,0.184,0.666,-0.647,0.789,-51.900,12.900,-13.650,33.9
17:17:44.506,9073524,9.639,-2.954,-0.682,0.592,-0.166,0.909,-51.900,12.900,-13.650,33.8
17:17:44.551,9073578,10.582,-3.081,0.479,-0.229,-0.058,0.637,-51.900,12.900,-13.650,33.6
17:17:44.611,9073632,9.941,-2.849,-0.294,0.423,-0.059,0.176,-51.900,4.050,-15.450,33.7
17:17:44.654,9073686,9.079,-1.829,-1.089,0.266,0.141,0.172,-51.900,4.050,-15.450,33.7
17:17:44.714,9073740,9.057,-3.244,-0.675,0.587,0.314,0.191,-50.400,3.150,-14.700,33.9
17:17:44.774,9073794,8.653,-2.306,-0.761,0.238,0.197,-0.076,-50.400,3.150,-14.700,33.7
17:17:44.821,9073848,9.036,-3.266,-0.596,0.347,0.146,-0.203,-49.650,1.650,-13.650,33.4
17:17:44.911,9073902,9.043,-2.564,-0.397,0.081,0.004,-0.313,-49.650,1.650,-13.650,33.8
17:17:44.926,9073956,8.983,-2.545,-0.175,-0.030,-0.200,-0.406,-49.650,1.650,-13.650,33.7
17:17:44.986,9074010,9.091,-2.607,-0.462,-0.087,-0.327,-0.333,-51.000,5.700,-11.700,33.9
17:17:45.044,9074064,9.819,-2.698,-0.656,-0.343,-0.337,-0.345,-51.000,5.700,-11.700,33.7
17:17:45.089,9074118,8.978,-0.991,-1.111,-0.724,-0.279,-0.237,-52.350,6.300,-16.200,33.7
17:17:45.151,9074172,10.013,-3.733,-0.668,-0.149,-0.164,-0.107,-52.350,6.300,-16.200,33.9
17:17:45.196,9074226,9.294,-2.559,-1.128,-0.248,-0.084,-0.056,-50.850,5.850,-15.150,33.7
17:17:45.254,9074280,8.995,-2.871,-0.364,-0.186,-0.124,0.063,-50.850,5.850,-15.150,33.8
17:17:45.316,9074334,8.803,-2.940,-0.048,-0.026,-0.130,0.144,-50.850,5.850,-15.150,33.4
17:17:45.361,9074388,9.323,-2.042,-0.895,-0.017,-0.047,0.289,-50.850,5.850,-15.150,33.7
17:17:45.421,9074442,9.395,-2.222,-0.596,0.046,-0.034,0.335,-51.900,6.750,-17.250,33.8
17:17:45.466,9074496,9.859,-3.807,-0.326,0.217,-0.119,0.289,-52.350,4.350,-17.700,33.9
17:17:45.526,9074550,9.445,-1.662,-0.625,-0.087,-0.271,0.122,-52.350,4.350,-17.700,33.7
17:17:45.631,9074604,10.776,-5.653,1.487,0.481,-0.187,-0.128,-53.100,3.150,-17.250,33.7
17:17:45.632,9074658,12.076,-2.327,-2.416,1.373,0.322,0.186,-53.100,3.150,-17.250,33.7
17:17:45.689,9074712,10.855,-3.299,-1.518,0.274,0.587,0.195,-53.100,3.150,-17.250,33.9
17:17:45.750,9074766,9.459,-3.010,0.254,-0.137,0.515,0.161,-53.100,3.150,-17.250,33.7
17:17:45.811,9074820,8.813,-2.744,0.522,-0.837,0.546,0.117,-51.750,3.750,-11.700,33.7
17:17:45.871,9074874,8.507,-3.742,-1.173,0.024,0.303,0.178,-51.750,3.750,-11.700,33.7
17:17:45.929,9074928,8.514,-2.207,-3.699,0.315,-0.063,0.118,-50.100,4.800,-11.850,33.8
17:17:45.990,9074982,9.792,-5.665,-5.763,0.227,-0.657,0.178,-50.100,4.800,-11.850,33.7
17:17:46.111,9075036,8.780,-5.210,-5.863,-0.750,-1.185,0.026,-50.400,5.100,-11.850,33.9
17:17:46.111,9075090,9.950,-2.413,-3.512,-0.016,-1.982,-0.310,-49.050,3.000,-22.950,33.7
17:17:46.169,9075144,11.066,-6.005,-3.754,0.149,-2.190,-0.272,-49.050,3.000,-22.950,33.7
17:17:46.170,9075198,10.534,-2.976,-4.266,-0.857,-2.170,0.111,-49.050,3.000,-22.950,33.7
17:17:46.229,9075252,10.154,-4.525,-4.168,-0.231,-2.153,0.133,-49.050,3.000,-22.950,33.6
17:17:46.290,9075306,9.122,-3.170,-4.247,-0.895,-1.819,0.211,-40.200,4.200,-46.350,33.6
17:17:46.350,9075360,8.770,-3.804,-4.377,0.271,-1.755,0.379,-40.200,4.200,-46.350,33.8
17:17:46.411,9075414,7.027,-4.501,-7.578,-0.423,-1.612,0.352,-32.850,4.350,-53.850,33.7
17:17:46.471,9075468,6.711,-3.134,-6.285,-0.233,-1.560,0.276,-32.850,4.350,-53.850,33.7
17:17:46.529,9075522,6.591,-3.668,-7.659,-0.258,-1.560,0.328,-25.950,6.900,-58.500,33.7
17:17:46.591,9075576,5.866,-3.639,-7.163,0.427,-1.431,0.358,-25.950,6.900,-58.500,33.9
