timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
22:40:15.123,3628134,5.844,8.181,1.666,-0.233,-0.946,0.169,-12.000,88.650,12.900,35.5
22:40:15.175,3628188,5.638,7.116,1.915,-0.545,-0.914,0.129,-12.000,88.650,12.900,35.3
22:40:15.228,3628242,5.413,8.586,1.853,-1.184,-1.068,0.036,-12.000,88.650,12.900,35.3
22:40:15.288,3628296,6.812,7.252,1.568,-0.954,-0.890,-0.513,-18.900,87.750,16.050,35.3
22:40:15.340,3628350,5.643,2.413,1.125,2.155,-0.417,-0.291,-18.900,87.750,16.050,35.5
22:40:15.393,3628404,7.535,9.881,2.203,-1.307,-0.781,-0.385,-20.100,92.400,12.300,35.4
22:40:15.447,3628458,7.985,6.809,1.681,0.620,-0.340,-0.948,-20.100,92.400,12.300,35.2
22:40:15.500,3628512,5.126,8.305,3.168,0.219,0.151,-1.178,-19.650,92.400,16.350,35.1
22:40:15.558,3628566,3.316,8.540,3.108,0.872,0.927,-1.276,-19.650,92.400,16.350,35.4
22:40:15.612,3628620,1.731,9.936,2.593,0.188,0.443,-1.086,-13.500,97.500,15.900,35.4
22:40:15.664,3628674,2.990,7.975,4.755,-0.672,0.085,-0.866,-13.500,97.500,15.900,35.5
22:40:15.715,3628728,0.366,6.567,-0.105,-1.085,-0.362,-0.268,-8.550,100.800,17.850,35.4
22:40:15.768,3628782,3.232,5.619,7.058,0.356,0.960,0.121,-8.550,100.800,17.850,35.3
22:40:15.827,3628836,1.978,8.428,1.173,2.026,2.295,-0.038,-8.550,100.800,17.850,35.3
22:40:15.880,3628890,2.380,8.413,-0.371,-0.764,1.219,-0.019,-0.600,102.000,25.200,35.5
22:40:15.934,3628944,2.452,10.475,-0.206,0.648,1.791,0.215,-0.600,102.000,25.200,35.4
22:40:15.994,3628998,2.600,9.131,0.828,0.264,1.657,0.421,3.600,100.800,27.000,35.1
22:40:16.039,3629052,2.368,8.768,0.302,0.915,1.769,0.249,3.600,100.800,27.000,35.4
22:40:16.098,3629106,3.493,9.876,-2.444,0.815,1.190,0.476,8.100,98.550,19.350,35.3
22:40:16.151,3629160,5.136,8.404,-1.504,-2.345,-0.445,0.569,8.100,98.550,19.350,35.4
22:40:16.204,3629214,2.090,10.853,-0.029,-0.396,-0.207,0.147,7.050,95.400,22.650,35.3
22:40:16.255,3629268,2.351,10.707,3.519,0.371,0.597,-0.481,7.050,95.400,22.650,35.5
22:40:16.314,3629322,5.959,8.550,-2.653,1.120,1.964,-0.304,7.800,91.200,24.450,35.5
22:40:16.368,3629376,4.508,9.756,4.422,1.593,2.275,-0.010,7.800,91.200,24.450,35.2
22:40:16.422,3629430,-1.705,12.119,3.946,1.262,1.389,-0.277,7.800,91.200,24.450,35.1
22:40:16.474,3629484,-3.867,9.807,-0.613,0.692,0.474,-0.223,18.300,93.000,-0.450,35.3
22:40:16.533,3629538,-1.832,5.701,-2.547,-0.173,-0.253,-0.096,18.300,93.000,-0.450,35.5
22:40:16.584,3629592,1.034,4.477,-0.560,0.986,0.105,0.340,17.850,90.450,-2.850,35.5
22:40:16.637,3629646,-9.225,4.587,-6.280,-0.135,0.128,1.227,17.850,90.450,-2.850,35.5
22:40:16.689,3629700,13.838,14.164,9.833,-0.730,-0.616,1.572,12.000,93.000,-3.450,35.3
22:40:16.742,3629754,7.570,15.751,-1.918,0.229,-1.208,2.246,12.000,93.000,-3.450,35.4
22:40:16.846,3629808,7.523,3.141,-2.868,0.114,-0.838,1.671,-3.600,95.400,-1.350,35.4
22:40:16.847,3629862,4.329,15.634,-1.185,-0.505,-1.448,1.955,-3.600,95.400,-1.350,35.3
22:40:16.952,3629916,7.870,4.295,1.949,-0.194,-1.602,1.369,-15.150,93.900,-2.850,35.4
22:40:17.004,3629970,6.009,7.259,-7.688,0.402,-0.873,1.521,-15.150,93.900,-2.850,35.3
22:40:17.058,3630024,8.040,3.110,-0.069,-0.378,-1.096,1.723,-15.150,93.900,-2.850,35.3
22:40:17.109,3630078,9.764,4.561,-1.156,0.326,-0.112,1.345,-34.950,86.100,-5.400,35.4
22:40:17.214,3630132,10.266,7.463,-2.210,-0.231,-0.615,1.376,-34.950,86.100,-5.400,35.3
22:40:17.216,3630186,12.493,5.394,-2.399,0.313,-0.389,1.124,-38.550,82.500,-7.050,35.3
22:40:17.267,3630240,12.146,6.033,-2.820,-0.023,-0.759,1.074,-38.550,82.500,-7.050,35.4
22:40:17.371,3630294,8.107,5.131,-2.801,0.280,-0.403,0.785,-43.500,77.250,-8.700,35.4
22:40:17.373,3630348,6.431,2.025,-1.614,-0.119,-0.516,0.395,-43.500,77.250,-8.700,35.3
22:40:17.425,3630402,6.503,2.739,-0.924,0.232,-0.131,0.117,-44.400,75.150,-11.100,35.2
22:40:17.476,3630456,8.497,4.396,-2.193,0.659,0.219,-0.083,-44.400,75.150,-11.100,35.5
22:40:17.529,3630510,8.248,3.776,-3.982,0.259,0.226,-0.570,-44.400,74.400,-11.400,35.5
22:40:17.582,3630564,7.606,4.159,-3.306,0.336,0.502,-0.183,-44.400,74.400,-11.400,35.3
22:40:17.634,3630618,6.452,-2.294,-1.872,0.598,0.232,-0.163,-44.400,74.400,-11.400,35.3
22:40:17.688,3630672,7.027,3.129,-2.959,0.072,-0.196,0.169,-42.450,73.050,-10.950,35.4
22:40:17.739,3630726,5.748,5.837,-0.716,-0.143,-1.479,1.024,-42.450,73.050,-10.950,35.7
