timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
20:57:09.675,1347408,-9.720,5.471,3.534,2.507,-0.068,-2.532,52.500,16.950,-16.800,32.5
20:57:09.721,1347462,-9.038,1.753,4.152,1.769,0.517,-2.696,52.500,16.950,-16.800,32.3
20:57:09.779,1347516,-10.590,2.662,1.923,1.895,0.508,-2.522,52.800,3.000,-19.350,32.5
20:57:09.840,1347570,-8.789,1.439,1.501,1.218,0.447,-2.438,52.800,3.000,-19.350,32.6
20:57:09.885,1347624,-8.176,-3.361,0.888,0.722,0.352,-2.328,52.800,3.000,-19.350,32.4
20:57:09.945,1347678,-6.242,-1.973,1.963,1.903,0.570,-2.247,52.800,3.000,-19.350,32.7
20:57:09.991,1347732,-5.866,-3.057,2.342,1.822,0.773,-2.110,39.750,-17.700,-20.400,32.5
20:57:10.051,1347786,-7.020,-3.390,1.104,1.872,0.386,-1.996,39.750,-17.700,-20.400,32.5
20:57:10.109,1347840,-6.146,-4.087,2.207,1.303,0.061,-2.102,32.850,-24.150,-16.200,32.5
20:57:10.155,1347894,-5.732,-6.026,2.253,1.232,-0.048,-2.254,32.850,-24.150,-16.200,32.5
20:57:10.215,1347948,-5.138,-6.273,2.011,0.832,-0.489,-2.046,32.850,-24.150,-16.200,32.5
20:57:10.260,1348002,-2.847,-8.904,4.523,1.354,0.012,-2.219,14.700,-29.100,-8.850,32.6
20:57:10.320,1348056,-3.371,-7.472,2.270,1.443,0.054,-2.175,14.700,-29.100,-8.850,32.5
20:57:10.380,1348110,-1.982,-7.535,4.650,0.566,-0.213,-2.079,5.100,-29.700,-2.850,32.6
20:57:10.425,1348164,-0.057,-8.045,4.161,0.658,-0.191,-1.960,5.100,-29.700,-2.850,32.6
20:57:10.485,1348218,1.228,-10.369,3.306,0.245,-0.050,-1.792,-3.600,-27.750,-1.050,32.5
20:57:10.530,1348272,0.450,-6.282,3.486,-0.339,-0.161,-1.675,-3.600,-27.750,-1.050,32.5
20:57:10.590,1348326,1.480,-8.825,2.739,-1.230,-0.330,-1.502,-10.050,-24.750,-2.100,32.5
20:57:10.650,1348380,2.368,-9.282,2.401,-1.287,-0.206,-1.340,-10.050,-24.750,-2.100,32.2
20:57:10.695,1348434,2.737,-10.613,2.054,-1.472,0.080,-1.227,-16.200,-23.250,-8.850,32.3
20:57:10.755,1348488,3.412,-10.099,1.767,-0.843,0.275,-1.443,-16.200,-23.250,-8.850,32.5
20:57:10.800,1348542,4.113,-8.928,-0.725,-0.784,0.308,-1.415,-20.400,-18.450,-13.500,32.6
20:57:10.861,1348596,5.042,-9.103,0.766,-0.510,0.357,-1.412,-20.400,-18.450,-13.500,32.5
20:57:10.921,1348650,5.231,-9.634,-0.156,-0.260,0.266,-1.321,-20.400,-18.450,-13.500,32.6
20:57:10.965,1348704,6.584,-8.102,0.543,-0.165,0.044,-1.220,-28.050,-13.200,-15.150,32.5
20:57:11.026,1348758,7.209,-7.448,1.784,0.186,0.060,-0.981,-28.050,-13.200,-15.150,32.3
20:57:11.100,1348812,7.460,-8.787,0.864,0.840,-0.224,-1.183,-30.450,-7.200,-15.600,32.5
20:57:11.160,1348866,7.695,-7.159,0.632,1.352,-0.349,-0.895,-30.450,-7.200,-15.600,32.3
20:57:11.220,1348920,8.085,-5.816,0.532,2.468,-0.210,-0.644,-30.450,-7.200,-15.600,32.3
20:57:11.280,1348974,8.155,-6.874,0.429,1.411,-0.224,-0.616,-30.450,-7.200,-15.600,32.5
