timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:34:36.670,6485638,9.187,3.129,0.378,0.234,0.029,0.065,-33.900,34.800,-30.600,34.8
16:34:36.715,6485692,8.708,3.395,-1.554,0.968,0.089,0.000,-33.900,34.800,-30.600,35.0
16:34:36.775,6485746,8.708,1.666,0.254,0.353,0.106,0.078,-33.900,34.800,-30.600,34.8
16:34:36.821,6485800,7.654,4.357,-0.431,-0.128,0.209,-0.197,-34.800,34.200,-31.500,35.0
16:34:36.880,6485854,8.296,2.545,-0.943,0.438,0.082,-0.102,-33.600,32.250,-31.500,35.0
16:34:36.941,6485908,9.474,2.682,-0.055,0.268,-0.055,-0.053,-33.600,32.250,-32.250,35.1
16:34:36.987,6485962,10.278,3.333,-1.140,0.002,-0.071,-0.078,-33.900,33.900,-32.400,35.0
16:34:37.046,6486016,9.874,4.334,-0.883,0.259,0.179,-0.124,-33.900,33.900,-32.400,35.0
16:34:37.091,6486070,8.842,2.456,1.788,0.384,0.219,-0.115,-34.350,33.750,-32.250,34.6
16:34:37.150,6486124,7.908,2.650,0.390,0.596,0.054,0.017,-34.350,33.750,-32.250,34.8
16:34:37.210,6486178,8.538,4.171,-0.711,0.257,-0.048,0.103,-34.350,33.750,-32.250,34.8
16:34:37.255,6486232,9.232,3.436,-0.845,0.294,0.177,0.179,-34.350,33.750,-32.250,34.8
16:34:37.317,6486286,9.519,5.538,0.778,0.024,0.319,0.023,-36.000,32.850,-33.150,34.7
16:34:37.362,6486340,11.265,2.986,1.587,0.199,0.441,-0.026,-36.000,32.850,-33.150,34.7
16:34:37.422,6486394,8.617,2.804,-1.211,0.763,0.350,0.230,-38.550,31.050,-33.750,34.8
16:34:37.482,6486448,7.875,5.653,-1.214,-0.284,-0.008,-0.016,-38.550,31.050,-33.750,34.8
16:34:37.527,6486502,8.693,6.790,-3.606,-0.037,-0.222,-0.323,-38.550,30.600,-33.000,34.8
16:34:37.585,6486556,8.928,6.488,-4.216,0.272,-0.546,-0.533,-38.550,34.950,-33.450,34.7
16:34:37.630,6486610,9.273,7.286,-3.898,0.367,-1.035,-0.804,-38.550,34.950,-33.450,35.0
16:34:37.690,6486664,9.522,5.947,-3.869,-0.128,-1.404,-0.928,-38.550,34.950,-33.450,34.8
16:34:37.750,6486718,9.701,5.069,-2.504,-0.254,-1.599,-0.933,-38.550,34.950,-33.450,35.0
16:34:37.795,6486772,9.550,6.304,-3.060,-0.503,-1.651,-0.934,-38.550,34.950,-33.450,34.8
16:34:37.855,6486826,9.359,5.133,-2.725,0.006,-1.444,-0.988,-38.550,34.950,-33.450,34.8
16:34:37.901,6486880,9.424,6.117,-3.795,-0.452,-1.294,-1.220,-21.150,36.300,-44.850,35.0
16:34:37.960,6486934,7.178,6.661,-3.352,-0.361,-1.174,-1.278,-21.150,36.300,-44.850,35.0
16:34:38.067,6486988,6.831,6.309,-3.637,-0.307,-1.039,-1.401,-17.100,38.250,-47.400,34.6
16:34:38.068,6487042,5.382,7.360,-3.852,0.072,-0.940,-1.362,-17.100,38.250,-47.400,34.9
16:34:38.125,6487096,5.265,7.010,-3.692,-0.056,-0.863,-1.273,-11.250,40.350,-49.050,34.8
16:34:38.185,6487150,3.903,7.298,-4.559,0.244,-0.820,-1.340,-4.950,37.650,-49.500,34.8
16:34:38.245,6487204,3.120,8.092,-4.616,-0.127,-0.810,-1.243,-4.950,37.650,-49.500,34.9
16:34:38.307,6487258,2.195,7.501,-4.515,0.040,-0.734,-1.271,-4.950,37.650,-49.500,34.9
16:34:38.367,6487312,1.618,6.467,-3.156,-0.292,-0.772,-1.280,-4.950,37.650,-49.500,34.9
16:34:38.427,6487366,1.293,3.709,-1.355,0.213,-0.435,-1.324,4.650,39.600,-51.300,34.9
16:34:38.487,6487420,0.955,2.899,-1.331,0.244,0.088,-0.416,4.650,39.600,-51.300,34.9
16:34:38.545,6487474,0.694,4.144,-1.255,0.164,0.228,0.752,7.950,38.850,-52.350,34.9
16:34:38.605,6487528,1.451,3.833,-2.418,0.064,0.659,0.751,7.950,38.850,-52.350,34.8
16:34:38.606,6487582,1.666,5.796,-3.481,-0.272,0.938,0.774,3.150,40.350,-54.150,35.0
16:34:38.665,6487636,1.932,7.611,-5.171,0.257,1.073,0.909,3.150,40.350,-54.150,34.9
16:34:38.726,6487690,3.127,7.386,-5.179,0.147,1.063,1.071,-0.600,39.000,-52.650,34.8
16:34:38.785,6487744,4.001,7.508,-4.882,0.033,0.968,1.078,-0.600,39.000,-52.650,34.9
16:34:38.845,6487798,4.448,7.341,-4.702,0.196,1.039,1.181,-0.600,39.000,-52.650,34.7
16:34:38.907,6487852,5.466,8.126,-5.188,0.083,0.935,1.066,-10.800,38.250,-49.350,35.0
16:34:38.967,6487906,5.411,7.666,-4.650,-0.115,0.921,1.117,-10.800,38.250,-49.350,34.9
16:34:39.026,6487960,7.223,6.211,-4.793,-0.100,0.846,1.078,-14.250,36.450,-49.050,34.7
16:34:39.146,6488014,6.407,7.314,-4.671,0.256,0.958,1.062,-14.250,36.450,-49.050,34.8
16:34:39.148,6488068,8.013,5.150,-3.606,0.032,0.950,0.978,-19.350,37.050,-47.100,34.9
16:34:39.148,6488122,7.080,7.661,-3.919,0.230,0.857,0.920,-19.350,37.050,-47.100,34.7
16:34:39.205,6488176,8.799,5.681,-4.187,0.231,0.906,0.798,-22.500,34.200,-44.400,35.1
16:34:39.266,6488230,8.633,6.213,-2.820,-0.225,0.700,0.738,-22.500,34.200,-44.400,35.0
16:34:39.326,6488284,8.243,5.392,-4.142,0.471,0.829,0.507,-22.500,34.200,-44.400,34.8
16:34:39.386,6488338,9.364,4.190,-1.958,-0.172,0.569,0.521,-22.500,34.200,-44.400,35.3
16:34:39.446,6488392,8.282,4.678,-2.495,0.523,0.740,0.356,-28.200,32.850,-42.750,34.9
16:34:39.505,6488446,8.957,4.808,-2.449,0.213,0.575,0.518,-32.550,31.050,-39.600,34.8
16:34:39.566,6488500,8.610,3.680,-1.405,0.174,0.474,0.657,-32.550,31.050,-39.600,34.9
16:34:39.626,6488554,8.777,3.982,-1.448,0.166,0.406,0.633,-33.600,27.900,-38.100,34.8
16:34:39.686,6488608,9.407,2.083,-2.550,-0.298,0.353,0.543,-33.600,27.900,-38.100,34.8
16:34:39.687,6488662,9.426,3.943,-2.291,-0.649,0.148,0.514,-34.950,28.500,-37.950,35.1
16:34:39.745,6488716,9.139,5.205,-4.640,0.115,-0.181,-0.114,-34.950,28.500,-37.950,35.0
16:34:39.805,6488770,9.117,4.374,-4.750,-0.017,-0.586,-0.395,-34.950,28.500,-37.950,34.7
16:34:39.866,6488824,9.239,4.970,-3.596,0.075,-0.947,-0.732,-34.950,28.500,-37.950,35.0
16:34:39.927,6488878,9.828,4.968,-3.361,-0.273,-1.112,-0.994,-34.200,28.200,-38.700,35.2
16:34:39.987,6488932,9.634,4.032,-2.784,-0.208,-1.229,-1.048,-34.200,28.200,-38.700,34.7
16:34:40.045,6488986,9.199,5.739,-3.275,-0.128,-1.189,-1.135,-27.000,29.850,-42.900,35.2
16:34:40.105,6489040,8.839,4.853,-3.168,-0.078,-1.125,-1.154,-23.100,32.400,-45.600,34.8
16:34:40.165,6489094,8.691,5.262,-4.058,-0.080,-1.082,-1.251,-23.100,32.400,-45.600,34.8
16:34:40.225,6489148,7.441,5.978,-4.420,-0.033,-1.107,-1.135,-17.100,32.400,-46.050,34.9
16:34:40.226,6489202,6.766,6.404,-4.065,-0.083,-1.111,-1.191,-17.100,32.400,-46.050,34.9
16:34:40.286,6489256,6.043,6.828,-5.006,0.197,-1.031,-1.163,-13.350,34.350,-48.600,34.8
16:34:40.347,6489310,5.509,6.974,-4.896,0.028,-1.053,-1.050,-13.350,34.350,-48.600,34.9
16:34:40.406,6489364,4.590,6.742,-4.891,0.286,-0.957,-0.972,-13.350,34.350,-48.600,34.8
16:34:40.466,6489418,4.266,6.814,-4.736,-0.054,-0.862,-1.006,-13.350,34.350,-48.600,34.6
16:34:40.526,6489472,2.885,6.677,-4.769,-0.032,-0.735,-0.787,-4.050,32.400,-52.650,34.7
16:34:40.585,6489526,2.119,6.244,-4.743,-0.038,-0.719,-0.618,-4.050,32.400,-52.650,34.8
16:34:40.645,6489580,1.611,5.880,-5.231,0.190,-0.570,-0.586,-0.600,31.950,-52.650,34.9
16:34:40.706,6489634,1.650,5.164,-3.668,0.292,-0.529,-0.433,-0.600,31.950,-52.650,35.0
16:34:40.767,6489688,1.633,5.861,-4.930,0.536,0.025,-0.278,2.100,32.850,-53.700,34.9
16:34:40.768,6489742,1.530,5.710,-2.933,-0.296,0.068,0.221,1.350,32.850,-54.750,34.7
16:34:40.825,6489796,1.381,5.215,-5.109,0.047,0.382,0.275,1.350,32.850,-54.750,34.8
16:34:40.885,6489850,1.204,5.866,-4.207,-0.280,0.504,0.437,1.350,32.850,-54.750,34.7
16:34:40.947,6489904,2.078,6.072,-4.925,0.045,0.586,0.653,1.350,32.850,-54.750,34.7
16:34:41.005,6489958,2.397,6.756,-5.631,0.021,0.739,0.714,-1.800,31.200,-54.450,35.0
16:34:41.066,6490012,4.235,5.835,-5.080,-0.204,0.715,0.722,-1.800,31.200,-54.450,35.1
16:34:41.126,6490066,4.118,7.281,-5.806,-0.234,0.749,0.821,-4.800,33.600,-53.700,34.8
16:34:41.185,6490120,4.345,7.630,-6.199,0.041,0.820,0.839,-4.800,33.600,-53.700,34.9
16:34:41.246,6490174,4.326,5.890,-5.028,-0.374,0.705,0.758,-8.700,34.200,-52.050,34.9
16:34:41.305,6490228,6.033,7.640,-5.557,-0.296,0.719,0.670,-8.700,34.200,-52.050,34.9
