timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
12:56:25.136,1195005,0.290,-9.658,2.009,-0.221,1.319,-0.404,-7.050,-31.500,10.050,41.6
12:56:25.194,1195060,-2.416,-10.305,1.451,-0.370,0.266,-0.221,-7.050,-31.500,10.050,41.7
12:56:25.248,1195115,4.068,-8.938,1.013,0.248,0.130,-0.198,-12.750,-32.700,10.200,41.7
12:56:25.300,1195170,2.033,-9.967,0.668,0.325,0.037,0.023,-12.750,-32.700,10.200,41.6
12:56:25.359,1195225,3.582,-9.017,0.639,0.325,1.857,0.334,-13.350,-29.700,12.150,41.8
12:56:25.412,1195280,-3.203,-7.764,-0.852,-0.189,0.375,0.169,-11.250,-30.300,13.050,41.3
12:56:25.466,1195335,-0.139,-9.155,1.894,-0.566,0.334,-0.034,-11.250,-30.300,13.050,41.3
12:56:25.524,1195390,-0.819,-10.204,1.532,-0.861,0.503,-0.265,-13.800,-31.200,11.850,41.4
12:56:25.578,1195445,0.579,-10.724,0.041,-0.378,0.598,-0.356,-13.800,-31.200,11.850,41.6
12:56:25.630,1195500,0.180,-10.451,1.192,-0.067,0.844,-0.295,-15.750,-30.750,10.650,41.5
12:56:25.689,1195555,0.788,-9.979,0.790,-0.041,0.825,-0.178,-15.750,-30.750,10.650,41.5
12:56:25.743,1195610,0.907,-9.687,0.661,0.110,0.829,0.000,-17.400,-29.550,12.300,41.6
12:56:25.794,1195665,0.728,-9.878,0.752,0.097,0.917,0.109,-17.400,-29.550,12.300,41.6
12:56:25.855,1195720,-0.163,-10.240,0.804,0.095,0.681,0.148,-17.400,-29.550,12.300,41.3
12:56:25.908,1195775,-0.048,-10.312,1.137,-0.018,0.714,0.057,-17.100,-28.050,15.300,41.6
12:56:25.960,1195830,0.122,-10.137,0.409,-0.096,0.350,-0.040,-17.100,-28.050,15.300,41.6
12:56:26.020,1195885,0.084,-9.912,0.807,-0.067,0.144,-0.098,-16.800,-27.900,15.900,41.5
12:56:26.073,1195940,0.227,-9.867,0.962,-0.139,-0.078,-0.073,-16.800,-27.900,15.900,41.6
12:56:26.124,1195995,0.043,-9.912,0.769,-0.134,-0.066,-0.095,-16.200,-29.100,14.250,41.7
12:56:26.184,1196050,0.814,-10.173,0.900,-0.088,-0.174,-0.110,-16.200,-29.100,14.250,41.6
12:56:26.238,1196105,0.050,-10.218,0.972,0.011,-0.217,-0.039,-18.000,-27.900,15.150,41.3
