timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
19:16:56.379,20132,-9.486,-3.608,0.666,0.577,0.321,-0.041,46.350,6.300,-19.800,31.2
19:16:56.424,20186,-8.839,-4.257,-0.290,0.765,0.552,0.040,45.900,2.100,-23.100,31.4
19:16:56.485,20240,-9.220,-3.426,0.010,0.669,0.684,0.219,46.950,0.750,-25.950,31.5
19:16:56.529,20294,-9.653,-3.972,-0.072,0.903,0.496,0.187,46.950,0.750,-25.950,31.8
19:16:56.590,20348,-9.584,-2.579,0.735,0.726,0.266,0.106,46.950,0.750,-25.950,31.4
19:16:56.650,20402,-8.806,-3.376,-0.488,0.879,0.062,0.072,46.950,0.750,-25.950,31.5
19:16:56.695,20456,-9.000,-3.326,0.043,0.585,-0.220,0.104,46.650,-0.900,-29.400,31.6
19:16:56.754,20510,-8.784,-3.144,-0.979,0.509,-0.186,0.111,46.650,-0.900,-29.400,31.6
19:16:56.800,20564,-8.787,-3.953,-0.316,0.262,0.088,0.027,44.700,-1.050,-27.300,31.6
19:16:56.860,20618,-9.239,-3.998,-0.702,0.295,0.316,0.052,44.700,-1.050,-27.300,31.4
19:16:56.920,20672,-9.986,-3.563,-0.687,-0.324,0.095,0.015,44.700,-1.050,-27.300,31.3
19:16:56.964,20726,-9.706,-4.243,-0.101,0.489,0.202,-0.029,44.700,-1.050,-27.300,31.7
19:16:57.025,20780,-9.124,-4.417,0.124,1.003,0.394,-0.031,45.150,-3.600,-28.950,31.7
19:16:57.068,20834,-9.407,-3.110,-0.469,1.021,0.346,0.037,45.750,-7.200,-27.000,31.5
19:16:57.128,20888,-9.158,-3.098,0.848,0.581,0.222,-0.052,45.750,-7.200,-27.000,31.4
19:16:57.189,20942,-9.060,-3.220,-0.148,0.344,0.099,-0.124,45.750,-7.200,-27.000,31.7
19:16:57.234,20996,-9.127,-2.533,0.168,-0.156,0.049,-0.081,45.750,-7.200,-27.000,31.5
19:16:57.295,21050,-8.892,-3.112,-0.017,-0.506,-0.026,-0.076,45.000,-8.100,-28.500,31.6
19:16:57.340,21104,-8.914,-2.883,0.742,-0.211,-0.192,0.127,45.000,-8.100,-28.500,31.3
19:16:57.399,21158,-11.009,-7.774,0.304,0.478,0.318,0.140,45.000,-5.400,-28.050,31.3
19:16:57.458,21212,-16.685,-3.304,-1.070,0.429,0.264,-0.447,45.000,-5.400,-28.050,31.6
19:16:57.503,21266,-15.380,-7.503,0.838,0.473,0.199,-0.997,45.000,-5.400,-28.050,31.5
19:16:57.565,21320,-12.359,-6.369,0.939,0.160,-0.134,-0.975,45.000,-5.400,-28.050,31.5
19:16:57.609,21374,-10.266,-4.966,0.464,0.478,-0.228,-0.422,41.100,-15.600,-30.150,31.6
19:16:57.670,21428,-8.660,-4.544,0.594,0.392,0.164,0.047,41.100,-15.600,-30.150,31.4
19:16:57.730,21482,-7.666,-3.907,0.220,0.260,0.712,0.718,40.800,-20.550,-32.700,31.7
19:16:57.805,21536,-8.301,-4.271,0.939,0.352,0.834,1.108,43.650,-17.550,-34.500,31.5
19:16:57.865,21590,-9.385,-2.832,0.438,0.228,0.631,1.289,43.650,-17.550,-34.500,31.2
19:16:57.925,21644,-8.052,-0.522,-1.113,0.351,0.382,1.350,45.750,-12.750,-38.700,31.3
19:16:57.985,21698,-7.195,-1.690,-1.348,-0.147,0.071,2.058,45.750,-12.750,-38.700,31.4
19:16:58.045,21752,-3.742,1.937,-0.491,-1.462,-0.504,2.416,47.100,-1.350,-42.450,31.6
19:16:58.046,21806,-2.818,-1.748,-1.683,-2.880,-0.278,0.299,47.100,-1.350,-42.450,31.6
19:16:58.103,21860,-5.227,-6.390,-2.253,-0.137,0.211,-1.185,48.150,17.850,-42.450,31.5
19:16:58.164,21914,-3.124,1.592,-0.268,1.610,0.248,-2.345,48.150,17.850,-42.450,31.7
19:16:58.225,21968,-7.365,-0.788,-1.425,0.732,-0.432,-2.258,47.850,5.100,-42.900,31.4
19:16:58.284,22022,-7.389,-5.205,-0.091,0.761,-0.484,-1.696,47.850,5.100,-42.900,31.8
19:16:58.345,22076,-7.788,-3.091,-0.529,0.389,-0.461,-1.093,46.200,-11.550,-38.250,31.2
19:16:58.404,22130,-7.080,-5.001,0.122,0.324,0.048,-0.804,42.600,-17.100,-35.250,31.5
19:16:58.464,22184,-7.769,-5.318,1.326,0.310,0.403,-0.527,42.600,-17.100,-35.250,31.8
19:16:58.525,22238,-9.922,-4.762,-0.455,0.230,0.374,-0.179,41.850,-20.550,-33.000,31.5
19:16:58.583,22292,-11.174,-4.073,-0.050,0.065,0.055,-0.001,41.850,-20.550,-33.000,31.4
19:16:58.585,22346,-10.858,-3.821,-0.572,-0.023,-0.035,0.082,41.850,-20.550,-33.000,31.8
19:16:58.643,22400,-9.929,-6.689,0.503,0.274,0.068,0.235,41.850,-20.550,-33.000,31.6
19:16:58.706,22454,-10.127,-4.484,0.625,0.203,0.227,0.345,40.800,-20.250,-31.950,31.7
19:16:58.763,22508,-9.594,-5.562,0.819,0.161,0.483,0.480,40.800,-20.250,-31.950,31.3
19:16:58.824,22562,-10.384,-4.769,-0.891,0.062,0.345,0.646,40.500,-19.650,-30.300,31.3
19:16:58.885,22616,-12.265,-5.590,0.642,0.278,0.379,0.298,40.500,-19.650,-30.300,31.4
19:16:58.943,22670,-14.834,-9.687,0.038,0.005,0.096,-0.240,40.500,-19.650,-30.300,31.6
19:16:59.003,22724,-15.407,-7.678,0.539,0.122,-0.296,-0.451,41.100,-19.500,-30.450,31.5
19:16:59.065,22778,-13.417,-7.207,1.494,0.024,-0.201,-0.780,41.100,-19.500,-30.450,31.6
19:16:59.124,22832,-12.026,-6.946,1.566,-0.013,-0.209,-0.583,41.550,-23.250,-31.500,31.4
19:16:59.125,22886,-10.585,-4.329,0.634,-0.294,-0.138,-0.265,41.550,-23.250,-31.500,31.4
19:16:59.183,22940,-9.347,-4.271,0.658,-0.175,0.111,0.233,41.550,-23.250,-31.500,31.6
19:16:59.245,22994,-8.200,-4.702,-0.285,-0.160,0.191,0.780,41.550,-23.250,-31.500,31.3
