timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
19:38:51.491,323120,-9.369,-2.911,-2.437,-2.252,0.466,-0.459,40.200,9.600,-54.750,31.4
19:38:51.534,323174,-9.407,-1.343,-3.555,-2.123,0.350,-0.497,40.200,9.600,-54.750,31.4
19:38:51.596,323228,-9.249,-0.656,-3.891,-2.514,0.067,-0.513,38.850,22.950,-53.550,31.5
19:38:51.656,323282,-8.334,-1.774,-3.589,-2.400,-0.103,-0.766,38.850,22.950,-53.550,31.4
19:38:51.701,323336,-8.416,0.062,-3.424,-2.174,-0.059,-0.952,39.600,29.850,-51.600,31.3
19:38:51.759,323390,-8.842,0.532,-3.831,-1.973,-0.100,-1.180,39.600,29.850,-51.600,31.2
19:38:51.805,323444,-9.141,0.795,-5.212,-1.935,-0.181,-1.202,39.750,33.150,-46.800,31.1
19:38:51.865,323498,-9.227,-0.637,-3.986,-2.340,-0.175,-0.943,39.750,33.150,-46.800,31.5
19:38:51.924,323552,-8.930,0.060,-3.697,-2.187,0.039,-0.923,42.600,34.200,-41.400,31.4
19:38:51.971,323606,-9.943,1.360,-4.872,-1.874,-0.011,-0.979,42.600,34.200,-41.400,31.2
19:38:52.031,323660,-9.804,1.463,-3.850,-1.325,-0.100,-0.748,44.100,37.200,-37.350,31.4
19:38:52.074,323714,-9.558,1.250,-4.573,-1.062,-0.276,-0.614,46.500,35.850,-34.350,31.3
19:38:52.134,323768,-9.158,0.939,-3.807,-0.882,-0.350,-0.550,46.500,35.850,-34.350,31.2
19:38:52.195,323822,-8.945,2.042,-3.804,-0.622,-0.290,-0.777,48.900,34.950,-31.950,31.3
19:38:52.241,323876,-8.729,1.276,-3.565,-0.715,-0.168,-0.752,48.900,34.950,-31.950,31.2
19:38:52.299,323930,-8.612,0.601,-3.747,-0.420,-0.255,-0.807,48.900,34.950,-31.950,31.1
19:38:52.344,323984,-8.722,0.618,-2.952,-0.349,-0.361,-0.665,48.900,34.950,-31.950,31.4
19:38:52.404,324038,-8.473,0.062,-3.716,-0.254,-0.431,-0.542,51.600,29.850,-28.650,31.6
19:38:52.464,324092,-7.956,-0.261,-3.242,0.187,-0.134,-0.621,51.600,29.850,-28.650,31.3
19:38:52.509,324146,-7.456,-1.475,-4.104,0.221,0.067,-0.686,55.050,27.000,-27.300,31.2
19:38:52.569,324200,-7.355,-2.394,-5.222,-0.142,0.078,-0.661,55.050,27.000,-27.300,31.3
19:38:52.614,324254,-8.617,-2.765,-4.506,-0.093,0.019,-0.509,55.050,27.000,-27.300,31.4
19:38:52.674,324308,-9.498,-2.538,-4.650,-0.474,0.265,-0.405,56.250,22.800,-29.550,31.4
19:38:52.736,324362,-9.584,-3.824,-3.979,-0.119,0.225,-0.418,56.250,22.800,-29.550,31.2
19:38:52.779,324416,-8.641,-3.757,-4.630,-0.540,-0.007,-0.290,55.950,20.250,-31.200,31.2
19:38:52.841,324470,-7.738,-3.962,-4.044,-0.365,-0.119,-0.078,55.950,20.250,-31.200,31.5
19:38:52.886,324524,-7.523,-3.996,-3.938,-0.283,-0.052,0.323,57.000,19.200,-30.300,31.4
19:38:52.945,324578,-5.140,-5.136,-2.188,0.269,0.396,0.713,57.000,19.200,-30.300,31.3
19:38:53.004,324632,-7.111,-0.201,-2.176,-1.017,0.143,1.086,54.450,25.200,-31.950,31.4
19:38:53.064,324686,-7.836,-3.345,-2.679,-0.632,0.074,1.228,54.450,25.200,-31.950,31.4
19:38:53.124,324740,-11.109,1.398,-4.441,-0.808,0.221,0.980,54.450,25.200,-31.950,31.3
19:38:53.186,324794,-19.539,0.278,-8.016,-1.512,0.706,0.813,54.450,25.200,-31.950,31.4
19:38:53.244,324848,-18.174,3.960,-7.784,-0.281,0.112,0.517,51.000,34.350,-31.050,31.2
19:38:53.306,324902,-12.682,1.611,-2.840,-0.164,-0.180,-0.339,51.000,37.800,-29.850,31.4
19:38:53.365,324956,-6.991,-0.002,-2.306,0.057,-0.413,-1.169,51.000,37.800,-29.850,31.4
19:38:53.424,325010,-5.442,0.318,-2.787,0.438,-0.549,-1.724,51.000,37.800,-29.850,31.4
19:38:53.425,325064,-5.289,-1.247,-2.274,-0.764,-0.858,-1.718,51.000,37.800,-29.850,31.3
19:38:53.486,325118,-6.321,-1.913,-3.244,-0.556,-0.960,-1.349,58.650,25.650,-24.300,31.3
19:38:53.545,325172,-7.259,-2.030,-4.065,-0.459,-1.026,-1.235,58.650,25.650,-24.300,31.4
19:38:53.606,325226,-7.444,-3.294,-3.002,0.367,-0.784,-1.104,59.400,21.000,-19.050,31.3
19:38:53.666,325280,-7.266,-0.184,-4.020,-0.148,-0.732,-0.705,59.400,21.000,-19.050,31.3
19:38:53.726,325334,-7.290,-2.890,-0.120,-1.175,-0.868,-0.944,59.850,16.950,-14.250,31.1
19:38:53.785,325388,-7.635,-1.638,-1.705,-0.220,-0.222,-0.130,59.850,16.950,-14.250,31.4
19:38:53.846,325442,-6.778,-6.069,-1.322,-0.705,0.071,0.002,61.050,13.800,-12.000,31.3
19:38:53.906,325496,-9.601,0.148,-3.543,2.041,0.295,0.510,61.050,13.800,-12.000,31.3
19:38:53.966,325550,-9.840,-3.572,-3.491,-1.524,0.288,0.297,61.050,13.800,-12.000,31.4
19:38:53.967,325604,-10.235,-0.986,-4.312,-0.998,0.191,0.294,63.150,15.150,-15.900,31.4
19:38:54.024,325658,-8.959,-3.986,-3.247,-1.051,-0.068,0.016,63.150,15.150,-15.900,31.3
19:38:54.086,325712,-8.595,-2.140,-2.406,-0.327,-0.044,0.041,62.700,15.150,-15.900,31.3
19:38:54.144,325766,-9.014,-3.668,-0.584,1.515,-0.059,-0.070,62.700,15.150,-15.900,31.2
19:38:54.206,325820,-9.117,-5.334,-2.931,1.092,0.096,0.726,62.700,15.150,-15.900,31.1
19:38:54.266,325874,-10.580,2.241,-7.204,0.176,0.206,-0.156,62.700,15.150,-15.900,31.3
19:38:54.326,325928,-7.029,-3.280,1.602,-1.862,-0.050,-0.011,61.800,16.950,-15.600,31.4
19:38:54.445,325982,-10.123,-1.149,-2.265,-0.097,-0.186,-0.090,61.800,16.950,-15.600,31.4
19:38:54.447,326036,-10.671,-1.559,-4.405,-0.278,-0.010,-0.252,61.800,15.450,-16.350,31.4
